Title,Summary
"Charles’ Country Pan Fried Chicken","Charles Gabriel's pan-fried chicken has a thin, crisp crust and meat that’s juicy but never greasy."
"Vaucluse","A reassuringly handsome restaurant whose interpretations of battle-tested French warhorses can be superb, quietly competent or oddly off kilter."
"DuMont Burger","DuMont Burger, an offshoot of DuMont, offers a short burgercentric menu in a boxy little space on Bedford Avenue."
"Savore","The food is mostly authentic Tuscan fare, and mostly very good."
"Upland","Upland occupies the middle ground, a big restaurant that has enough set dressing to feel like an event without competing with the food. The chef Justin Smillie splashes around in the gentle, sun-dappled river of classic California cuisine."
"Robert","A corporate cafeteria set high above Columbus Circle, with views of the park but not very good food."
"Kung Fu Little Steamed Buns Ramen","The specialty at this bare-bones shop is ramen in its original form, as it first came to Japan from China: la mian, or hand-pulled noodles, which are as much theater as comfort food."
"Lake Pavilion","Finding a Cantonese seafood restaurant as good as Lake Pavilion is a reason to get a group together. The kitchen is serious about the Cantonese classics, along with a few more recent notions from Hong Kong."
"Grindhaus","Aaron Taber, the chef at Grindhaus, makes the kind of earnest, fashionably austere, handsomely arranged food that is signified on menus by sans-serif lists of ingredients, with no capital letters, verbs, articles or hint of how one thing might relate to the next."
"MP Taverna Astoria","MP Taverna offers Michael Psilakis’s second-generation, melting-pot vision of an America where Greek flavors have been woven into the fabric of American cooking so thoroughly that they’re taken for granted."
"Lamazou","This teeny-weeny shop is jam-packed with packaged goods from across the globe, European cheeses that have been caved beneath the New York sidewalk and sandwiches that loyalists will line up out the door for."
"Tierras Colombianas","Huge quantities of hearty Colombian cooking are the ticket at these two informal Queens restaurants."
"L’Apicio","The polenta dishes, along with most of the pastas and appetizers, are handled so expertly that it almost doesn’t matter that L’Apicio is uneven."
"TsuruTonTan Udon Noodle Brasserie","It’s now easier to find a ramen shop in Manhattan than a mailbox, but udon specialists are rare. TsuruTonTan may be the only one that mixes, kneads, rolls and cuts the dough for these long, pale wheat noodles in its own kitchen."
"Mountain Bird","Mountain Bird, an idiosyncratic, almost-all-poultry restaurant, is strongest when it surprises."
"Butter","In many ways, Butter epitomizes the conflicted priorities of certain downtown restaurants that teeter between being dining rooms and clubs."
"Gramercy Tavern","The enduring appeal of Gramercy Tavern transcends individual elements like atmosphere, menu and even service. It springs from a sense of safety and reassurance that is kept vital by acts of imagination."
"Gato","The first new restaurant Bobby Flay and his business partner, Laurence Kretchmer, have opened in New York City in a decade. The cooking at Gato is many things, often all at the same time, but it is rarely shy."
"Best Pizza","This slice joint with good technique and impeccable ingredients elevates classics like garlic knots, the square slice and white pie."
"Szechuan Gourmet","Szechuan Gourmet is for Sichuan cuisine lovers who are willing to go bolder, hotter and deeper."
"Mandoo Bar","Mandoo is the Korean word for dumplings, the specialty of this bright, stylish little Korean restaurant."
"Yuba","Intelligent takes on Japanese cuisine and impeccably fresh sushi."
"Grandchamps","The chef, Shawn Brockman, has been trusted with his mother-in-law's recipes."
"Celeste","When it comes to Amsterdam Avenue's restaurants, there's little to match the rustic, honest and deeply flavorful food at Celeste."
"Tulcingo Del Valle","At Del Valle, the menu is hopelessly traditional, but the food is fresh, bright, and satisfying."
"Wallflower","Wallflower waits in the shadows just off Greenwich Avenue, without a sign, barely exhaling light."
"Il Gattopardo","There is nothing the least bit fussy about Il Gattopardo, where an emphasis on simplicity often translates into high satisfaction."
"Fitzcarraldo","A kind of magical loneliness possesses Fitzcarraldo, which occupies a corner of a 30,000-square-foot former warehouse in the East Williamsburg In-Place Industrial Park. The food is Italian, mostly Ligurian, and lovely, with one of the best renditions of cacio e pepe in town."
"Lunetta","Lunetta is not one of those Italian places that get the vibe right and the food wrong: Adam Shepard can cook."
"The Eddy","The Eddy is one of those restaurants that gets so many little details right that your main course can be a little shaky and you can still walk out happy."
"Jeepney","Dinner at Jeepney, which describes itself as a Filipino gastropub, can feel like parachuting into Manila."
"Bar Pleiades at Café Boulud","This bar at the Surrey Hotel is dark and glamorous — a fur-lined, lacquered, perfumed cave."
"Momofuku Ssam Bar","At freewheeling Ssam, you can drop in for just 30 minutes, have a snack of one or two small dishes, and pay just $20 for them."
"Wild Rise","There’s just one item at this pop-up restaurant tucked inside a bar, but it’s a good one: Neapolitan pizza."
"Malai Marke","Malai Marke's finest offerings declare their provenance from India’s southwest Konkan and Malabar coasts."
"La Colombe Torrefaction","A Philadelphia company known for its darker roasts."
"La Bottega","At the moment, La Bottega feels more like a restaurant on automatic pilot than an inspired place to dine."
"Babbo","Babbo goes staight for the gut, adding one big taste sensation atop another, gilding already delicious dishes with extra bits of texture and final flourishes of flavor. It's doing this now as well as ever."
"Rouge et Blanc","This tranquil, low-key bistro takes a fresh approach to combining France and Vietnam."
"Pranna","Pranna delivers some unimaginative entrees, though the restaurant's trademark assortment of satays are more impressive."
"Abboccato","The menu at Abboccato, the 21st-century version of an Italian-American restaurant, is a bit of a jumble, but often a pleasing one."
"Babushka Cafe","Babushka Cafe has a few stools at a window counter, heavy-eyelashed matryoshka dolls standing sentinel and a terse menu devoted to pelmeni, vareniki, blini and borscht."
"Barbuto","Service and food are inconsistent, but Barbuto's formidable charms win out in the end."
"Anton’s Dumplings","Anton Yelyashkevich, who was born in Minsk, Belarus, and grew up in Bensonhurst, Brooklyn, serves small but robust dumplings, made by hand at a pelmeni factory in Brooklyn."
"Russ & Daughters Cafe","The new Russ & Daughters Cafe is modeled on the old Russ & Daughters shop a few blocks away. But the cafe adds to, elaborates on and deviates from the store in many ways."
"SpaHa Soul","“This is the most informal dining experience you’ll ever have,” said Artist Thornton, the owner and “chef” (quotation marks his) of this idiosyncratic and lovely little restaurant; the food, which traverses Louisiana, Mexico and India, has an improvised feel, with dishes made for (and named after) neighbors and friends."
"Morimoto","A sparkly wonderland for glittery people, Morimoto has style, sex appeal and a sense of humor."
"Le Turtle","Supposedly this is a “French new wave” restaurant, and while the menu isn’t especially French, the design has a Godardian sense of humor."
"L’Amico","Laurent Tourondel works up casual Italian food, including pizza, that is not greatly innovative but that occasionally glints with originality."
"Bianca","A charming neighborhood restaurant that evokes an Italian latteria, or dairy store, as outfitted by someone with a keen eye for architectural detail."
"OMG Taco","Oaxaca's tacos are almost daintily composed."
"Mancora","If you know what you're looking for at Mancora, and it happens to be ceviche or chicken or a night on the town, you will leave pleased."
"Nizza","The pizza at Nizza may not be destination fare, but the snacking is great, and affordable."
"Pok Pok Ny","Altered perceptions come free with the price of dinner at Pok Pok Ny, opened by the chef Andy Ricker, of Portland, Ore. Mr. Ricker’s specialty is recreating the food of northern Thailand, which has been hard to find in New York City."
"Günter Seeger NY","Günter Seeger, who made his name in Atlanta in the 1990s and 2000s, is a deeply expressive chef — expressive of the season and of his own focused, disciplined style. When you’re surprised by his cooking, it’s because the voice of the ingredients is coming through more clearly than you’re used to."
"Take Root","Take Root, on a drowsy block by the Brooklyn-Queens Expressway, serves multi-course, un-ascetic, remarkable meals."
"Socarrat Paella Bar","Where paella is concerned, Socarrat's vision is expansive."
"Noche Mexicana","Noche Mexicana, a bright, pleasant taqueria, offers a full range of tacos and other antijitos, or street snacks."
"The Happiest Hour","It’s all about the burger at this vaguely tropical spot in Greenwich Village, and the Happiest Burger, a blatant homage to the California-born In-N-Out burger, is the showstopper."
"Toné-Café","Primarily a takeout spot, Toné-Café is an offshoot of a restaurant in Brighton Beach, Brooklyn, whose owners hope to make Georgian cuisine more accessible to those outside the neighborhood."
"Brushstroke","David Bouley's collaboration with the Tsuji Culinary Institute of Osaka, Japan, is devoted to a school of  cooking called kaiseki, a series of focused, intricately composed dishes."
"Grey Lady","The mood is blithe at Grey Lady, whose name salutes befogged Nantucket, where the restaurant’s owners summered when young. Loiterers at the long marble-topped bar have the air of preppy surfers who will be fox-hunting come fall. This is the seafood shack by way of Ralph Lauren."
"La Vie en Szechuan","The marvel is that the chef, Zhong Qing Wang, a native of Chengdu, manages to refine Sichuan classics without extinguishing them."
"Hecho en Dumbo","Hecho en Dumbo offers the big flavors of Mexico City, stripped down to fundamentals."
"Cha-An Teahouse","At Cha-an, up a narrow staircase from the street, afternoon tea is sedate, befitting the simple wooden tables and pewlike banquettes."
"The Shakespeare","A rustic pub with a rock soundtrack, soccer on both televisions and a network of taps for British lagers and cask ales."
"Aamanns-Copenhagen","The New York foothold of a popular Danish modern sandwich shop, serving expensive, artisanal smorrebrod (open-face sandwiches) on excellent Nordic bread in a lofty white space in TriBeCa."
"Ed’s Raw Bar at BeerParc","A lobster-roll riff on the lobster club, including lettuce, tomato, avocado, and bacon bits as well as nicely seasoned lobster meat, has its merits."
"Zabb Queens","Zabb Queens features the simple but interesting cuisine of the Isaan region of Thailand."
"Bella Via","With Bella Via, Long Island City in Queens takes a big step up from red sauce and Frank Sinatra."
"Bunker","This scuffed yellow storefront on the desolate eastern edge of Ridgewood, Queens, is not where you expect to find a chef who once cooked at Eleven Madison Park, and who is now making some of the best Vietnamese street-style food in New York City."
"Moim","The best dishes at the new Korean restaurant Moim in Park Slope have a gorgeously modulated heat and a compelling balance of tart, sweet and spicy notes."
"The Crabby Shack","At this airy temple to crab, framed in white and sea blue, there are no whole crabs in buckets, no butcher paper on the tables. But almost everything on the menu is a tribute to the crustacean."
"Nello","A restaurant that fits the Upper East Side’s reputation of catering to elite Manhattanites. The prices are high, even if not much of the food is worth it."
"Neerob","A modest, sunny halal restaurant that serves the fish-friendly cuisine of Bangladesh."
"Bennie's Thai Cafe","At Bennie's Thai Café, dishes carry with them the feeling, and flavor, of food cooked to a different standard than that of a restaurant: the home."
"Trini-Gul","Lines form early here for the heady wraps of stew known as roti."
"Royale","One of the city's best hamburgers isn't the handiwork of some fancypants chef, and Royale, the place serving it, isn't as much a restaurant as it is a bar."
"Teodora","Teodora, quietly charms its diners without calling much attention to itself."
"Zadie's Oyster Room","Zadie's is devoted to the oyster in all its edible forms: raw, of course, but also baked, broiled, poached in a cream-sherry sauce, even pickled."
"La Flor Bakery and Cafe","Diners often look better than they are. But La Flor, with its personal touch, is every bit as good as you might hope."
"Blind Tiger Ale House","The biker-bar atmosphere at the Blind Tiger Ale House on Bleecker Street (raw wood floors and the pervasive smell of beer) tends to blot out the perfection of its beers."
"Mamak House","Mamak House focuses on the cooking of the Mamak community — Malaysians with Indian Muslim roots — on the Malaysian island of Penang."
"The Dining Room at the Modern","Of Danny Meyer’s two restaurants on the ground floor of the Museum of Modern Art, the casual Bar Room is more fun, but the Dining Room has the view of the sculpture garden and a dining experience that goes from one delight to another."
"Clover Club","At the Clover Club in Boerum Hill, try what are now known as pre-Prohibition drinks, a professorial assortment of fizzes, smashes, swizzles and sours."
"Whiskey Soda Lounge NY","Whiskey Soda Lounge Ny serves as a way station where people can nosh and drink and watch Muay Thai highlight reels while waiting for a table at Pok Pok Ny down the street. It is more than that, though. It’s also a gallery of Thailand’s bar snacks."
"Boqueria SoHo","This Boqueria, the larger offspring of one in Chelsea, is every bit as good as its sire."
"Carla Hall’s Southern Kitchen","In a small, casual corner spot, Carla Hall, a host of “The Chew”, pays tribute to the menacingly spicy fried chicken of Prince’s and other places in Nashville."
"Boulud Sud","Daniel Boulud’s first significant gesture toward the Mediterranean is excellent for pre- or post-Lincoln Center dining."
"Cherche Midi","Cherche Midi may be Keith McNally’s most thorough repudiation of the downtown restaurant scene, and it’s very easy to have a good time, particularly if you stick to red meat and French wine."
