Title,Summary,review_link,review_link-href,Review,Recommended-dishes,address,telephone,drinks,cuisine
"Grandchamps","The chef, Shawn Brockman, has been trusted with his mother-in-law's recipes.","Read Review","http://www.nytimes.com/2015/11/11/dining/grandchamps-welcomes-you-to-haiti-via-bedford-stuyvesant.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""In a photograph on the wall of Grandchamps, a Haitian restaurant near the eastern edge of Bedford-Stuyvesant, Brooklyn, a woman in a sundress and long earrings carries a plate of seemingly just-gathered string beans. The image is bucolic and sternly glamorous at once, a reminder to the chef, Shawn Brockman (who happens to be the woman’s son-in-law) that she has trusted him with her recipes and he had better watch what he’s doing.""},{""Review"":""Mr. Brockman grew up in Indiana, of German, Dutch and Scottish stock; his wife, Sabrina, has roots in Cap-Haïtien, a port city in northern Haiti. (The woman in the photograph is her mother, Françoise Grandchamps.) They live a few blocks from the restaurant, which they opened in June.""}]","singlepage.com/grandchamps","197 Patchen Avenue,
                             Bedford Stuyvesant","718-484-4880","Akra (malanga fritters); banan peze (twice-fried green plantains); legume (stewed chayote squash); griot (pan-fried pork); stewed chicken; riz djon-djon (black rice); pain mais (cornbread pudding).","Caribbean"
"The Redhead","The Redhead is a sign of these times, when distinctive food can be found in unlikely settings and when its East Village neighborhood has become a real culinary center of gravity.","Read Review","http://www.nytimes.com/2009/08/19/dining/reviews/19rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""IN the beginning, which was less than two years ago, Meg Grace cooked dinner on Thursday nights. That was all that she and her partners in the Redhead — which they had opened as a bar, with the goal of turning it into a restaurant — could manage or afford. It was a way of honing their skills and building a following in their East Village neighborhood while they upgraded the kitchen and refurbished  the modest space.""},{""Review"":""For more than six months Ms. Grace was a kitchen staff of one, more or less. As she put together her once-a-week  prix-fixe menus, which presented season-conscious comfort food that bore the stamp of her years in New Orleans, she did the ordering, the prep work — all of that. On Thursdays she’d get a helper    to plate the food and clean up, though Ms. Grace did as much of the dishwashing herself.""}]","singlepage.com/the-redhead","349 East 13th Street,
                             East Village","212-533-6212","$$ (moderate)","American, Southern"
"456 Shanghai Cuisine","The setting is dropped-ceiling bland, but real pleasures await: outstanding soup dumplings, fried fish, cold noodles and stir-fries.","Read Review","http://www.nytimes.com/2011/08/31/dining/reviews/456-shanghai-cuisine-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""ROUGHLY 200 years ago, in the 1970s, there was a nice little restaurant on Chatham Square in Chinatown called 456, which served mild, salty-sweet southern Chinese specialties accompanied by gallons of hot tea: cold sesame noodles, dim sum, pork in brown sauce, stir-fried greens with garlic.""},{""Review"":""The restaurant was popular with the sort of middle-class urban pioneers who would later resemble the parents in the Noah Baumbach film “The Squid and the Whale.” It was cheap and good and tolerated the presence of children learning to use chopsticks. It shut down at roughly the same time those pioneers’ first marriages did, leaving only fond memories in the minds of the progeny: sepia dumpling nostalgia.""}]","Chinatown restaurant, down to the corn plants, red trim, white tablecloths and oranges for dessert.","69 Mott Street,
                             Chinatown","212-964-0003","Conversational.","Chinese"
"La Morada","La Morada’s married owners, Natalia Mendez and Antonio Saavedra, were once farmers in Oaxaca, which is one of the poorest states in Mexico but whose cuisine is among the country’s richest. While much of the menu is taken up by tacos and quesadillas, a few dishes offer a glimpse of the “infinite gastronomy” that is Oaxacan cooking.","Read Review","http://www.nytimes.com/2015/03/04/dining/hungry-city-la-morada-in-the-south-bronx.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The meatball is burly but yields in an instant, spilling its secret: a whole green olive, buried at the center. The olive is a small, powerful thing, radiating salt and vinegar, almost pickling the meat from the inside, transfiguring it.""},{""Review"":""This is but one surprise at La Morada, a Mexican restaurant in the South Bronx painted in royal purple, with an anti-globalization “Mesoamérica Resiste” poster on the wall and “Boycott FreshDirect” stickers on the front counter. In the back is a lending library stocked with Plutarch, Orwell and Plath. There are ideas in the air, along with the scent of corn from tortillas growing pliant on the comal.""}]","singlepage.com/la-morada-0","308 Willis Avenue,
                             North New York","718-292-0235","Mole Oaxaqueño; mole negro; mole blanco with chile relleno; mole verde; tlacoyo (corn cake with cactus); albondigas (meatballs); chilate de pollo (spicy chicken soup).","Mexican"
"RedFarm","The chef Joe Ng and the restaurateur Ed Schoenfeld tailored their menu of modern Chinese cuisine for a Western palate.","Read Review","http://www.nytimes.com/2012/03/07/dining/reviews/redfarm-in-the-west-village-turns-up-the-flavors.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""JUST for a moment, try to forget that the dumplings are staring at you.""},{""Review"":""It won’t be easy. They have plaintive black sesame-seed eyes, the dumplings at RedFarm, giving them the appearance of strange, adorable characters in a Miyazaki film. These flat-bellied duck and crab dumplings look like a school of wide-mouthed catfish; the pale-green ones, filled with shrimp and snow-pea leaves, like moon-faced tadpoles. Over here are Blinky, Pinky, Inky and Clyde, spectral shrimp dumplings in blue, pink, yellow and white, chasing a Pac-Man made of sweet potato tempura with a blueberry for an eye.""}]","Cramped, with tables, including two communal ones, shoehorned into a space the size of a studio apartment. Visual interest is provided by potted plants and the food, when it arrives. Servers are adept at navigating the dining room and the menu.","529 Hudson Street,
                             West Village","212-792-9700","Lively.","Chinese"
"Casa Enrique","Cosme Aguilar, the chef of Casa Enrique, brings polish to Mexican classics without tampering with their essence.","Read Review","http://www.nytimes.com/2013/06/19/dining/reviews/hungry-city-casa-enrique-in-long-island-city-queens.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The first plate to land on the table at Casa Enrique is a bowl of what looks like fossilized macaroni and cheese. It turns out to be chicharrines, a Mexican street snack, squiggles of wheat flour deep-fried until they puff up like pork cracklings.""},{""Review"":""The last plate might well be a dark chocolate pot de crème, on top of which stand three thick Maria biscuits, instantly recognizable by their constellations of docker holes and Greek key trim. For the chef, Cosme Aguilar, they are the cookies of childhood: the Mexican version of the madeleine.""}]","singlepage.com/casa-enrique","5-48 49th Avenue,
                             Long Island City","347-448-6040","Beet and jicama salad, sopes de chorizo, albondigas, tostadas de jaiba, enchiladas Doña Blanca, cochinito Chiapeneco, chamorro de borrego al huaxamole.","Mexican"
"Il Salumaio","Il Salumaio turns out satisfyingly nostalgic Italian fare.","Read Review","http://www.nytimes.com/2014/03/19/dining/hungry-city-il-salumaio-on-the-upper-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Il Salumaio was not supposed to be a restaurant. It opened last June in Yorkville, on the Upper East Side, as an old-world salumeria with hocks of prosciutto and mesh sacks of soppressata clustered like chimes over monumental cheeses.""},{""Review"":""Equally monumental sandwiches were available, along with pasta made to order, but there was nowhere on the premises to sit and eat.""}]","singlepage.com/il-salumaio","1731 Second Avenue  ,
                             Upper East Side","646-852-6876","Arancini; meatballs; tagliere di salumi e formaggi; eggplant caponata; octopus; zucchini alla scapece; cortecce with zucchini pesto and sheep’s milk ricotta; cassata siciliana.","Italian"
"Birreria","An all-day, year-round rooftop beer garden set above the tempting bustle of Eataly, and run by the same Batali-Bastianich team.","Read Review","http://www.nytimes.com/2011/11/09/dining/reviews/birreria-nyc-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""200 Fifth Avenue (23rd Street); (212) 937-8910; eatalyny.com/eat/birreria.""},{""Review"":""Birreria, 14 stories above the food emporium Eataly, is no one’s idea of an Italian restaurant. This convivial rooftop beer garden is run by the Batali/Bastianich team from Eataly, but its attention is lavished on cabbage and sausage, not pasta or risotto, and a rowdy bar crowd threatens to take over at prime time.""}]","singlepage.com/birreria","200 Fifth Avenue,
                             Midtown South","212-937-8910","Fried shiitakes; cured meat and cheese plates; insalata cotta cruda; pork shoulder; skirt steak; chicken thigh; sauerkraut; family-style “piatto misto” of pork; desserts.","Italian"
"Javelina","Javelina bills itself as New York’s “first authentic Tex-Mex restaurant""; if this is authentic, it’s a wonder that anybody in Texas ever goes out to eat.","Read Review","http://www.nytimes.com/2015/05/20/dining/restaurant-review-javelina-in-gramercy-park.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""I like Texans. I love their food and their music and their boots. I admire their ability to tame landscapes that are hostile to human life. I respect how quick they are to stick up for their state and its culture. In fact, I may be slightly afraid of Texans. I have no desire to mess with them. I can read the bumper stickers.""},{""Review"":""Reviewing Javelina, which bills itself as “New York’s first authentic Tex-Mex restaurant,” may have presented me with an unusual conflict of interest. My interest in telling the truth about this establishment could come into conflict with my interest in not having my butt kicked by angry Texans. What if something I didn’t like at Javelina turned out to be the very thing that Texans most love about authentic Tex-Mex? It may get in the way of my earnest desire for my next trip to Texas to be a safe and peaceful one. Lucky for me, I have only good things to say about Javelina.""}]","A semi-sunken dining room decorated with tiles and a stuffed peccary. Servers are as chipper as if it were their first day on the job, which it may well be.","119 East 18th Street,
                             Gramercy Park","212-539-0202","The music is quiet. The tequila is not.","Tex-Mex"
"ABC Kitchen","A winsome sprawl on the ground floor of ABC Carpet & Home, created by Jean-Georges Vongerichten, that is haute organic.","Read Review","http://www.nytimes.com/2010/06/02/dining/reviews/02rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""ANOTHER day, another restaurant from Jean-Georges Vongerichten. The latest is ABC Kitchen, a winsome sprawl on the ground floor of ABC Carpet & Home, luxe Manhattan’s best source for Ganesh statues and pillows marked with nautical signal flags. As has become custom for Mr. Vongerichten of late, it is very good.""},{""Review"":""The notion of the place is haute organic and Hamptons sustainable. The restaurant is airy and open and relaxed the way the second homes of the wealthy often are, with LED-style lighting over warm floors. Ingredients for the cooking, as a position paper on the back of the chic cardboard menu declares, are “consciously sourced.” The breadbaskets were “handcrafted by the indigenous Mapuche people of Patagonia.”""}]","Spiritually materialistic.","35 East 18th Street,
                             Flatiron","212-475-5829","High noon of the summer’s best cocktail party.","New American"
