file name,start offset,end offset,dish name
Debugging_stage/Set_Q/review-139.txt,62,80,sushi
Debugging_stage/Set_Q/review-139.txt,1724,1744,aka uni
Debugging_stage/Set_Q/review-139.txt,1822,1842,scallop
Debugging_stage/Set_Q/review-139.txt,1885,1902,saba
Debugging_stage/Set_Q/review-139.txt,2154,2172,ikura
Debugging_stage/Set_Q/review-139.txt,2956,2989,creamy orange ankimo
Debugging_stage/Set_Q/review-139.txt,3069,3099,Osaka-style kappo
Debugging_stage/Set_Q/review-139.txt,3839,3860,shiokara
Debugging_stage/Set_Q/review-140.txt,1813,1836,"Cured
tuna"
Debugging_stage/Set_Q/review-140.txt,2324,2362,brine-poached sweetbreads
Debugging_stage/Set_Q/review-140.txt,2463,2491,portly scallops
Debugging_stage/Set_Q/review-140.txt,2567,2599,lamb-belly pancetta
Debugging_stage/Set_Q/review-140.txt,3518,3558,"entils simmered in
lamb jus"
Debugging_stage/Set_Q/review-140.txt,3583,3613,zucchini blossoms
Debugging_stage/Set_Q/review-140.txt,3627,3653,shrimp mousse
Debugging_stage/Set_Q/review-140.txt,3965,3994,"Japanese
tempura"
Debugging_stage/Set_Q/review-141.txt,859,889,yogurt croquettes
Debugging_stage/Set_Q/review-141.txt,981,1018,tea sandwiches of paneer
Debugging_stage/Set_Q/review-141.txt,1059,1092,crisp bubbled wafers
Debugging_stage/Set_Q/review-141.txt,2861,2888,Keralan moilee
Debugging_stage/Set_Q/review-141.txt,3286,3315,black-lentil dal
Debugging_stage/Set_Q/review-141.txt,4044,4066,gol gappa
Debugging_stage/Set_Q/review-142.txt,3907,3933,steak tartare
Debugging_stage/Set_Q/review-142.txt,4290,4322,Pacific blue shrimp
Debugging_stage/Set_Q/review-142.txt,4382,4407,Three Shells
Debugging_stage/Set_Q/review-142.txt,4650,4678,"poached
lobster"
Debugging_stage/Set_Q/review-142.txt,4862,4886,"duck
breast"
Debugging_stage/Set_Q/review-142.txt,5180,5214,Barolo-braised oxtail
Debugging_stage/Set_Q/review-142.txt,5363,5389,fried oysters
Debugging_stage/Set_Q/review-142.txt,5720,5750,Vanilla ice cream
Debugging_stage/Set_Q/review-142.txt,5856,5892,milk-chocolate soufflé
Debugging_stage/Set_Q/review-142.txt,5960,5991,chocolate marquise
Debugging_stage/Set_Q/review-143.txt,1073,1093,dim sum
Debugging_stage/Set_Q/review-143.txt,2891,2912,egg roll
Debugging_stage/Set_Q/review-143.txt,3032,3068,snow-pea-leaf dumplings
Debugging_stage/Set_Q/review-143.txt,3139,3176,delicate pleated har gow
Debugging_stage/Set_Q/review-143.txt,3211,3232,shiu mai
Debugging_stage/Set_Q/review-143.txt,3242,3274,slippery cheong fun
Debugging_stage/Set_Q/review-143.txt,3276,3306,rice-noodle rolls
Debugging_stage/Set_Q/review-143.txt,3325,3350,Char siu bao
Debugging_stage/Set_Q/review-143.txt,3352,3380,roast pork buns
Debugging_stage/Set_Q/review-144.txt,1343,1365,rye bread
Debugging_stage/Set_Q/review-144.txt,1915,1934,Halvah
Debugging_stage/Set_Q/review-144.txt,3391,3424,smoked-fish platters
Debugging_stage/Set_Q/review-144.txt,4524,4559,private-stock sturgeon
Debugging_stage/Set_Q/review-144.txt,4611,4636,Anne platter
Debugging_stage/Set_Q/review-144.txt,5402,5452,scrambled eggs with paddlefish caviar
Debugging_stage/Set_Q/review-144.txt,5800,5828,fish on a bagel
Debugging_stage/Set_Q/review-144.txt,6478,6533,Salmon roe and crème fraîche with latkes
Debugging_stage/Set_Q/review-144.txt,6629,6694,"bagel chip piled up with whitefish and salmon
salads"
Debugging_stage/Set_Q/review-145.txt,1457,1481,charcuterie
Debugging_stage/Set_Q/review-145.txt,1489,1520,Blue Point oysters
Debugging_stage/Set_Q/review-145.txt,1553,1579,fresh ricotta
