file name,start offset,end offset,negative sample
../Set_P/review-030.txt,504,519,and West Indian
../Set_P/review-030.txt,7,11,and 
../Set_P/review-030.txt,508,519,West Indian
../Set_P/review-030.txt,2094,2109,delivers on its
../Set_P/review-030.txt,2094,2103,delivers 
../Set_P/review-030.txt,2103,2109,on its
../Set_P/review-030.txt,257,273,painted gray and
../Set_P/review-030.txt,257,265,painted 
../Set_P/review-030.txt,265,273,gray and
../Set_P/review-030.txt,115,125,t end soon
../Set_P/review-030.txt,88,90,t 
../Set_P/review-030.txt,117,125,end soon
../Set_P/review-030.txt,2066,2087,Malecon Old Fashioned
../Set_P/review-030.txt,2066,2074,Malecon 
../Set_P/review-030.txt,2074,2087,Old Fashioned
../Set_P/review-030.txt,1885,1897,list of aged
../Set_P/review-030.txt,1885,1890,list 
../Set_P/review-030.txt,1890,1897,of aged
../Set_P/review-030.txt,2236,2247,it has gone
../Set_P/review-030.txt,1428,1431,it 
../Set_P/review-030.txt,2239,2247,has gone
../Set_P/review-030.txt,568,580,of the local
../Set_P/review-030.txt,410,413,of 
../Set_P/review-030.txt,571,580,the local
../Set_P/review-030.txt,2192,2205,ways to toast
../Set_P/review-030.txt,2192,2197,ways 
../Set_P/review-030.txt,2197,2205,to toast
../Set_P/review-030.txt,274,293,lighted by seashell
../Set_P/review-030.txt,274,282,lighted 
../Set_P/review-030.txt,282,293,by seashell
../Set_P/review-031.txt,1750,1760,much of it
../Set_P/review-031.txt,1750,1755,much 
../Set_P/review-031.txt,1755,1760,of it
../Set_P/review-031.txt,960,981,traditional dishes of
../Set_P/review-031.txt,960,972,traditional 
../Set_P/review-031.txt,972,981,dishes of
../Set_P/review-031.txt,101,113,to its limit
../Set_P/review-031.txt,101,104,to 
../Set_P/review-031.txt,104,113,its limit
../Set_P/review-031.txt,865,879,blue suits and
../Set_P/review-031.txt,865,870,blue 
../Set_P/review-031.txt,870,879,suits and
../Set_P/review-031.txt,880,901,women in professional
../Set_P/review-031.txt,880,886,women 
../Set_P/review-031.txt,886,901,in professional
../Set_P/review-031.txt,833,852,tables of gentlemen
../Set_P/review-031.txt,833,840,tables 
../Set_P/review-031.txt,840,852,of gentlemen
../Set_P/review-031.txt,1450,1472,is tastefully balanced
../Set_P/review-031.txt,74,77,is 
../Set_P/review-031.txt,1453,1472,tastefully balanced
../Set_P/review-031.txt,1712,1730,s not unattractive
../Set_P/review-031.txt,59,61,s 
../Set_P/review-031.txt,1714,1730,not unattractive
../Set_P/review-031.txt,1589,1604,to metal grates
../Set_P/review-031.txt,101,104,to 
../Set_P/review-031.txt,1592,1604,metal grates
../Set_P/review-031.txt,461,479,s all orchestrated
../Set_P/review-031.txt,59,61,s 
../Set_P/review-031.txt,463,479,all orchestrated
../Set_P/review-032.txt,1271,1290,continues to uphold
../Set_P/review-032.txt,1271,1281,continues 
../Set_P/review-032.txt,1281,1290,to uphold
../Set_P/review-032.txt,1415,1428,for the chefs
../Set_P/review-032.txt,1415,1419,for 
../Set_P/review-032.txt,1419,1428,the chefs
../Set_P/review-032.txt,26,44,East Fourth Street
../Set_P/review-032.txt,26,31,East 
../Set_P/review-032.txt,31,44,Fourth Street
../Set_P/review-032.txt,1121,1139,Japan and veterans
../Set_P/review-032.txt,1121,1127,Japan 
../Set_P/review-032.txt,1127,1139,and veterans
../Set_P/review-032.txt,1252,1270,Here their cooking
../Set_P/review-032.txt,1252,1257,Here 
../Set_P/review-032.txt,1257,1270,their cooking
../Set_P/review-032.txt,2437,2454,Perhaps purity is
../Set_P/review-032.txt,2437,2445,Perhaps 
../Set_P/review-032.txt,2445,2454,purity is
../Set_P/review-032.txt,608,624,the tomato jelly
../Set_P/review-032.txt,200,204,the 
../Set_P/review-032.txt,297,309,tomato jelly
../Set_P/review-032.txt,430,446,the East Village
../Set_P/review-032.txt,200,204,the 
../Set_P/review-032.txt,434,446,East Village
../Set_P/review-032.txt,1327,1353,classical Japanese cuisine
../Set_P/review-032.txt,1327,1337,classical 
../Set_P/review-032.txt,1337,1353,Japanese cuisine
../Set_P/review-032.txt,1364,1380,s more inventive
../Set_P/review-032.txt,98,100,s 
../Set_P/review-032.txt,1366,1380,more inventive
../Set_P/review-034.txt,1103,1121,his native Kolkata
../Set_P/review-034.txt,687,691,his 
../Set_P/review-034.txt,1107,1121,native Kolkata
../Set_P/review-034.txt,419,435,But Thelewala is
../Set_P/review-034.txt,419,423,But 
../Set_P/review-034.txt,423,435,Thelewala is
../Set_P/review-034.txt,180,194,was amazing at
../Set_P/review-034.txt,180,184,was 
../Set_P/review-034.txt,184,194,amazing at
../Set_P/review-034.txt,901,919,the most expensive
../Set_P/review-034.txt,59,63,the 
../Set_P/review-034.txt,905,919,most expensive
../Set_P/review-034.txt,739,761,Thelewala is nominally
../Set_P/review-034.txt,390,400,Thelewala 
../Set_P/review-034.txt,749,761,is nominally
../Set_P/review-034.txt,779,787,it has a
../Set_P/review-034.txt,779,782,it 
../Set_P/review-034.txt,782,787,has a
../Set_P/review-034.txt,1072,1087,vendors hawk to
../Set_P/review-034.txt,1072,1080,vendors 
../Set_P/review-034.txt,1080,1087,hawk to
