file name,start offset,end offset,dish name
../Set_P/review-030.txt,879,910,crispy rock shrimp
../Set_P/review-030.txt,957,992,fried shishito peppers
../Set_P/review-030.txt,1112,1139,croque señora
../Set_P/review-030.txt,1308,1328,ceviche
../Set_P/review-030.txt,1582,1607,"mango-
 cake"
../Set_P/review-031.txt,426,448,schnitzel
../Set_P/review-031.txt,1061,1082,spaetzle
../Set_P/review-031.txt,1156,1182,stack of ribs
../Set_P/review-031.txt,1294,1320,Freekeh salad
../Set_P/review-032.txt,62,86,Cold cheese
../Set_P/review-032.txt,681,703,foie gras
../Set_P/review-032.txt,832,859,shrimp tempura
../Set_P/review-032.txt,1587,1612,hamachi jaws
../Set_P/review-032.txt,1723,1743,Sashimi
../Set_P/review-032.txt,1748,1766,sushi
../Set_P/review-032.txt,2122,2151,sea-urchin chips
../Set_P/review-033.txt,165,191,arugula salad
../Set_P/review-033.txt,207,227,fusilli
../Set_P/review-033.txt,480,513,stracciatella cheese
../Set_P/review-033.txt,532,550,speck
../Set_P/review-033.txt,563,586,moscardini
../Set_P/review-033.txt,643,662,Tiella
../Set_P/review-033.txt,1153,1176,flat pasta
../Set_P/review-033.txt,1262,1292,salumi and cheese
../Set_P/review-033.txt,1391,1433,Chickpea fritters with cheese
../Set_P/review-033.txt,1689,1712,lamb chops
../Set_P/review-033.txt,1790,1808,salad
../Set_P/review-033.txt,1977,2000,sformatino
../Set_P/review-033.txt,2059,2091,Mediterranean orata
../Set_P/review-033.txt,2288,2334,simple pasta with sautéed shrimp
../Set_P/review-033.txt,2370,2432,"whole-wheat spaghetti, speck and wilted radicchio"
../Set_P/review-033.txt,2740,2765,ricotta cake
../Set_P/review-033.txt,2769,2790,tiramisu
../Set_P/review-034.txt,496,525,lime paneer roll
../Set_P/review-034.txt,1156,1178,behl pori
../Set_P/review-034.txt,1377,1399,Jaal mori
../Set_P/review-034.txt,1799,1824,chicken roll
../Set_P/review-035.txt,452,478,fried chicken
../Set_P/review-035.txt,530,558,pimiento cheese
../Set_P/review-035.txt,595,624,banana cream pie
../Set_P/review-035.txt,641,666,French fries
../Set_P/review-035.txt,679,725,"craggy, tangy buttermilk biscuits"
../Set_P/review-035.txt,732,752,Chicken
../Set_P/review-035.txt,872,900,mahogany chunks
../Set_P/review-035.txt,1002,1028,fried-chicken
../Set_P/review-035.txt,1543,1565,Chickwich
../Set_P/review-035.txt,1777,1805,mashed potatoes
../Set_P/review-035.txt,1839,1868,bland corn salad
../Set_P/review-035.txt,1874,1905,carrot-raisin slaw
../Set_P/review-035.txt,2059,2085,club sandwich
../Set_P/review-035.txt,2161,2193,fried chicken salad
../Set_P/review-036.txt,1665,1690,Greek burger
../Set_P/review-036.txt,1754,1778,veggie pita
../Set_P/review-036.txt,1843,1867,Greek fries
../Set_P/review-036.txt,1906,1926,pikilia
../Set_P/review-036.txt,1983,2008,taramosalata
../Set_P/review-036.txt,2010,2031,fish roe
../Set_P/review-036.txt,2080,2098,smoky
../Set_P/review-036.txt,2116,2152,roasted eggplant purée
../Set_P/review-037.txt,426,447,baguette
../Set_P/review-037.txt,610,636,sunflower-rye
../Set_P/review-037.txt,1177,1196,salami
../Set_P/review-037.txt,1258,1277,Athena
../Set_P/review-037.txt,1612,1643,almond-pear danish
../Set_P/review-037.txt,1901,1921,peaches
../Set_P/review-037.txt,1926,1950,raspberries
../Set_P/review-037.txt,1974,2003,Brie and lardons
../Set_P/review-037.txt,2014,2037,croissants
../Set_P/review-038.txt,503,537,chive-strewn potatoes
../Set_P/review-038.txt,544,566,cucumbers
../Set_P/review-038.txt,609,638,shredded cabbage
../Set_P/review-038.txt,879,935,rabbit and truffled yam open-faced sandwich
../Set_P/review-038.txt,1026,1050,tart apples
../Set_P/review-038.txt,1130,1160,chilled crab meat
../Set_P/review-038.txt,1243,1264,crostini
../Set_P/review-038.txt,1293,1323,fat smoked sprats
../Set_P/review-038.txt,1328,1358,boiled quail eggs
../Set_P/review-038.txt,1681,1708,chocolate bark
../Set_P/review-038.txt,1712,1741,sweet potato pie
../Set_P/review-039.txt,1087,1119,mozzarella sandwich
../Set_P/review-039.txt,1126,1153,English muffin
../Set_P/review-039.txt,1403,1422,kimchi
../Set_P/review-039.txt,1426,1448,fried egg
../Set_P/review-039.txt,1453,1494,crunchy chunks of pork belly
../Set_P/review-039.txt,1591,1617,Earl’s Eggo
../Set_P/review-039.txt,1770,1806,chewy Korean rice cakes
../Set_P/review-039.txt,1817,1843,Asian gnocchi
../Set_P/review-040.txt,812,838,fried oysters
../Set_P/review-040.txt,876,899,lamb chops
../Set_P/review-040.txt,1062,1096,Tennessee country ham
../Set_P/review-040.txt,1680,1703,short ribs
../Set_P/review-040.txt,1711,1730,shrimp
../Set_P/review-040.txt,1764,1791,fried potatoes
../Set_P/review-040.txt,1849,1878,brussels sprouts
../Set_P/review-041.txt,197,217,popcorn
../Set_P/review-041.txt,768,799,Spread Eagle plate
../Set_P/review-041.txt,815,841,fried chicken
../Set_P/review-041.txt,843,871,mashed potatoes
../Set_P/review-041.txt,876,893,cake
../Set_P/review-041.txt,1005,1026,crickets
../Set_P/review-041.txt,1364,1393,cheese empanadas
../Set_P/review-041.txt,1404,1437,greaseless turnovers
../Set_P/review-041.txt,1536,1559,puppy dogs
../Set_P/review-041.txt,1739,1758,burger
../Set_P/review-041.txt,1916,1953,grilled chicken sandwich
../Set_P/review-041.txt,2021,2048,Chewy brownies
../Set_P/review-042.txt,250,273,rice balls
../Set_P/review-042.txt,278,300,spaghetti
../Set_P/review-042.txt,305,327,meatballs
../Set_P/review-042.txt,733,751,ducks
../Set_P/review-042.txt,756,777,chickens
../Set_P/review-042.txt,779,796,fish
../Set_P/review-042.txt,984,1012,roasted carrots
../Set_P/review-042.txt,1014,1053,olive-oil smashed potatoes
../Set_P/review-042.txt,1055,1084,simmered spinach
../Set_P/review-042.txt,1309,1337,juicy pork loin
../Set_P/review-042.txt,1357,1377,carrots
../Set_P/review-042.txt,1434,1451,fish
../Set_P/review-042.txt,1476,1518,duck fat-fried potato nuggets
../Set_P/review-043.txt,326,343,udon
../Set_P/review-043.txt,491,520,sanuki kake udon
../Set_P/review-043.txt,700,720,tempura
../Set_P/review-043.txt,802,821,Shrimp
../Set_P/review-043.txt,841,863,whole egg
../Set_P/review-043.txt,906,928,niku udon
../Set_P/review-043.txt,977,994,beef
../Set_P/review-043.txt,999,1022,curry udon
../Set_P/review-043.txt,1109,1147,Ground pork and miso udon
../Set_P/review-043.txt,1257,1282,bukkake udon
../Set_P/review-043.txt,1627,1656,pickled mackerel
../Set_P/review-044.txt,273,292,shrimp
../Set_P/review-044.txt,538,559,rib-eyes
../Set_P/review-044.txt,564,588,hash browns
../Set_P/review-044.txt,922,956,shrimp with tomatillo
../Set_P/review-044.txt,958,984,fat crab meat
../Set_P/review-044.txt,1172,1195,Soft grits
../Set_P/review-044.txt,1201,1225,Gulf shrimp
../Set_P/review-044.txt,1288,1321,red-pepper crab cake
../Set_P/review-044.txt,1361,1386,baby spinach
../Set_P/review-044.txt,1388,1415,toasted pecans
../Set_P/review-044.txt,1422,1459,spicy orange vinaigrette
../Set_P/review-044.txt,1467,1490,Lamb chops
../Set_P/review-044.txt,1556,1591,corn-and-collards tart
../Set_P/review-044.txt,1617,1637,rib-eye
../Set_P/review-044.txt,1750,1775,French fries
../Set_P/review-044.txt,1796,1820,cauliflower
../Set_P/review-044.txt,1825,1849,goat-cheese
../Set_P/review-045.txt,887,909,dumplings
../Set_P/review-045.txt,979,1004,Duck lo mein
../Set_P/review-045.txt,1379,1401,Cantonese
../Set_P/review-045.txt,1508,1525,pork
../Set_P/review-045.txt,1531,1680,"lobster<dish> is sweeter than you might imagine. So is the sauce. Shower it with hot sauce and soy.
Do the same with <dish>egg foo young"
../Set_P/review-045.txt,1788,1817,black bean sauce
../Set_P/review-045.txt,1842,1865,white rice
../Set_P/review-046.txt,350,372,rillettes
../Set_P/review-046.txt,374,406,braised meat dishes
../Set_P/review-046.txt,638,667,brisket sandwich
../Set_P/review-046.txt,968,995,plateau de mer
../Set_P/review-046.txt,1097,1124,king crab legs
../Set_P/review-046.txt,1139,1159,oysters
../Set_P/review-046.txt,1161,1199,shrimp and cocktail sauce
../Set_P/review-046.txt,1201,1225,briny clams
../Set_P/review-046.txt,1306,1328,shellfish
../Set_P/review-046.txt,1504,1523,Caesar
../Set_P/review-046.txt,1540,1593,hot-smoked trout with cauliflower purée
../Set_P/review-046.txt,1610,1641,gummy clam chowder
../Set_P/review-046.txt,1662,1688,chicken liver
../Set_P/review-046.txt,1693,1722,foie gras pâté
../Set_P/review-046.txt,1768,1793,braised lamb
../Set_P/review-046.txt,1805,1829,pork gratin
../Set_P/review-046.txt,1873,1921,roasted monkfish with romesco sauce
../Set_P/review-047.txt,930,967,tuna tartare with olives
../Set_P/review-047.txt,1052,1070,bread
../Set_P/review-047.txt,1203,1240,roasted veal sweetbreads
../Set_P/review-047.txt,1314,1358,"frisée 
 with lardons of bacon"
../Set_P/review-047.txt,1365,1394,poached duck egg
../Set_P/review-047.txt,1473,1501,steak au poivre
../Set_P/review-047.txt,1523,1548,golden fries
../Set_P/review-047.txt,1594,1616,foie gras
../Set_P/review-047.txt,1696,1721,rack of lamb
../Set_P/review-048.txt,128,164,Roman square-cut pizzas
../Set_P/review-048.txt,737,755,tripe
../Set_P/review-048.txt,815,846,Crunchy bruschetta
../Set_P/review-048.txt,897,926,antipasto Romano
../Set_P/review-048.txt,977,1007,salumi e formaggi
../Set_P/review-048.txt,1035,1065,gran bu di bufala
../Set_P/review-048.txt,1392,1416,farro salad
../Set_P/review-048.txt,1459,1486,creamy burrata
../Set_P/review-048.txt,1591,1635,gnocchi with musky oxtail ragù
../Set_P/review-048.txt,1643,1705,pappardelle fragrant with beef stewed in red wine
../Set_P/review-048.txt,1739,1780,roast duck over oozy orzotto
../Set_P/review-048.txt,1833,1877,"matriciana, speckled with bacon"
../Set_P/review-049.txt,711,731,oysters
../Set_P/review-049.txt,1381,1423,pan-roasted squid and sausage
../Set_P/review-049.txt,1431,1465,Shrimp “cocktail”
../Set_P/review-049.txt,1644,1675,oysters Kilpatrick
../Set_P/review-049.txt,1900,1958,"Mushy pea fritters, served with minted yogurt"
../Set_P/review-050.txt,539,565,veal spiedini
../Set_P/review-050.txt,665,695,Green lentil soup
