file name,start offset,end offset,dish name
../Set_Q/review-139.txt,62,80,sushi
../Set_Q/review-139.txt,1724,1744,aka uni
../Set_Q/review-139.txt,1822,1842,scallop
../Set_Q/review-139.txt,1885,1902,saba
../Set_Q/review-139.txt,2154,2172,ikura
../Set_Q/review-139.txt,2956,2989,creamy orange ankimo
../Set_Q/review-139.txt,3069,3099,Osaka-style kappo
../Set_Q/review-139.txt,3839,3860,shiokara
../Set_Q/review-140.txt,1813,1836,"Cured
tuna"
../Set_Q/review-140.txt,2324,2362,brine-poached sweetbreads
../Set_Q/review-140.txt,2463,2491,portly scallops
../Set_Q/review-140.txt,2567,2599,lamb-belly pancetta
../Set_Q/review-140.txt,3518,3558,"entils simmered in
lamb jus"
../Set_Q/review-140.txt,3583,3613,zucchini blossoms
../Set_Q/review-140.txt,3627,3653,shrimp mousse
../Set_Q/review-140.txt,3965,3994,"Japanese
tempura"
../Set_Q/review-141.txt,859,889,yogurt croquettes
../Set_Q/review-141.txt,981,1018,tea sandwiches of paneer
../Set_Q/review-141.txt,1059,1092,crisp bubbled wafers
../Set_Q/review-141.txt,2861,2888,Keralan moilee
../Set_Q/review-141.txt,3286,3315,black-lentil dal
../Set_Q/review-141.txt,4044,4066,gol gappa
../Set_Q/review-142.txt,3907,3933,steak tartare
../Set_Q/review-142.txt,4290,4322,Pacific blue shrimp
../Set_Q/review-142.txt,4382,4407,Three Shells
../Set_Q/review-142.txt,4650,4678,"poached
lobster"
../Set_Q/review-142.txt,4862,4886,"duck
breast"
../Set_Q/review-142.txt,5180,5214,Barolo-braised oxtail
../Set_Q/review-142.txt,5363,5389,fried oysters
../Set_Q/review-142.txt,5720,5750,Vanilla ice cream
../Set_Q/review-142.txt,5856,5892,milk-chocolate soufflé
../Set_Q/review-142.txt,5960,5991,chocolate marquise
../Set_Q/review-143.txt,1073,1093,dim sum
../Set_Q/review-143.txt,2891,2912,egg roll
../Set_Q/review-143.txt,3032,3068,snow-pea-leaf dumplings
../Set_Q/review-143.txt,3139,3176,delicate pleated har gow
../Set_Q/review-143.txt,3211,3232,shiu mai
../Set_Q/review-143.txt,3242,3274,slippery cheong fun
../Set_Q/review-143.txt,3276,3306,rice-noodle rolls
../Set_Q/review-143.txt,3325,3350,Char siu bao
../Set_Q/review-143.txt,3352,3380,roast pork buns
../Set_Q/review-144.txt,1343,1365,rye bread
../Set_Q/review-144.txt,1915,1934,Halvah
../Set_Q/review-144.txt,3391,3424,smoked-fish platters
../Set_Q/review-144.txt,4524,4559,private-stock sturgeon
../Set_Q/review-144.txt,4611,4636,Anne platter
../Set_Q/review-144.txt,5402,5452,scrambled eggs with paddlefish caviar
../Set_Q/review-144.txt,5800,5828,fish on a bagel
../Set_Q/review-144.txt,6478,6533,Salmon roe and crème fraîche with latkes
../Set_Q/review-144.txt,6629,6694,"bagel chip piled up with whitefish and salmon
salads"
../Set_Q/review-145.txt,1457,1481,charcuterie
../Set_Q/review-145.txt,1489,1520,Blue Point oysters
../Set_Q/review-145.txt,1553,1579,fresh ricotta
../Set_Q/review-145.txt,2026,2058,crisp roast chicken
../Set_Q/review-145.txt,3335,3356,affogato
../Set_Q/review-145.txt,3521,3553,house-cured gravlax
../Set_Q/review-145.txt,3700,3734,Baked beans and toast
../Set_Q/review-145.txt,3804,3831,scrambled eggs
../Set_Q/review-146.txt,456,480,"ramen
bowls"
../Set_Q/review-146.txt,3053,3086,Vietnamese nuoc cham
../Set_Q/review-146.txt,3264,3294,airy corn pancake
../Set_Q/review-146.txt,3731,3757,uni and ikura
../Set_Q/review-146.txt,3923,3955,fried chicken wings
../Set_Q/review-146.txt,5111,5132,tonkotsu
../Set_Q/review-146.txt,5561,5615,"boiled
beef bones, veal bones and oxtails"
../Set_Q/review-146.txt,6114,6138,shoyu ramen
../Set_Q/review-147.txt,430,457,black sea bass
../Set_Q/review-147.txt,912,939,pancit pranses
../Set_Q/review-147.txt,2151,2183,liempo (pork belly)
../Set_Q/review-147.txt,2275,2301,"Sirloin
steak"
../Set_Q/review-147.txt,2537,2562,torta talong
../Set_Q/review-147.txt,3352,3374,kare-kare
../Set_Q/review-147.txt,3752,3782,longanisa sausage
../Set_Q/review-147.txt,4069,4132,doughnut with ube mousse filling and Cristal icing
../Set_Q/review-148.txt,2367,2389,crab meat
../Set_Q/review-148.txt,2772,2793,ahi tuna
../Set_Q/review-148.txt,3931,3953,Sea trout
../Set_Q/review-148.txt,3980,4001,monkfish
../Set_Q/review-148.txt,4003,4030,chicken breast
../Set_Q/review-148.txt,4034,4056,pork chop
../Set_Q/review-148.txt,4060,4080,rib-eye
../Set_Q/review-148.txt,4217,4244,chicken breast
../Set_Q/review-148.txt,4413,4453,"deep-fried
veal sweetbreads"
../Set_Q/review-148.txt,4530,4557,"seared
daurade"
../Set_Q/review-149.txt,234,273,"Japanese Kewpie
mayonnaise"
../Set_Q/review-149.txt,366,391,French fries
../Set_Q/review-149.txt,1176,1202,"chicken
wings"
../Set_Q/review-149.txt,1350,1373,Pork belly
../Set_Q/review-149.txt,1856,1875,burger
../Set_Q/review-149.txt,3288,3317,Salted duck eggs
../Set_Q/review-149.txt,3343,3361,balut
../Set_Q/review-149.txt,4007,4047,"long-simmered
chicken adobo"
../Set_Q/review-149.txt,4187,4217,sweet-hot sausage
../Set_Q/review-150.txt,2474,2507,Chicken liver mousse
../Set_Q/review-150.txt,2741,2761,oysters
