% NYC Restaurant Review Dataset
@RELATION nyc_restaurant_review

@ATTRIBUTE count_of_food_adjectives_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_adjectives_in_context NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_context NUMERIC
@ATTRIBUTE has_price_mention {true, false}
@ATTRIBUTE price_distance INTEGER
@ATTRIBUTE has_meal_name_mentioned {true, false}
@ATTRIBUTE has_dish_quantity_mention {true, false}
@ATTRIBUTE meal_name_context_feature NUMERIC
@ATTRIBUTE dish_quantity_context_feature NUMERIC
@ATTRIBUTE country_context_feature NUMERIC
@ATTRIBUTE comma_distance INTEGER
@ATTRIBUTE semi_colon_distance INTEGER
@ATTRIBUTE dish_name_starts_with_capital {true, false}
@ATTRIBUTE count_capital_letters INTEGER
@ATTRIBUTE count_commas NUMERIC
@ATTRIBUTE count_semicolons NUMERIC
@ATTRIBUTE dish_name STRING
@ATTRIBUTE file_name STRING
@ATTRIBUTE class_label {positive, negative}

@DATA
0,0,0,0,false,-1,true,false,0,0,0,50,-1,false,1,0,0,'classic Trinidadian sandwich',datasets/Set_I_DEV/review-001.txt,positive
0,1,1,1,true,1,true,false,1,0,0,4,-1,false,0,0,0,'chicken pelau',datasets/Set_I_DEV/review-001.txt,positive
1,0,0,0,true,13,true,false,0,0,0,-1,-1,false,0,0,0,'blackened fruitcake',datasets/Set_I_DEV/review-001.txt,positive
0,0,0,0,false,-1,false,false,0,0,0,-1,-1,true,1,0,0,Caesar,datasets/Set_I_DEV/review-002.txt,positive
0,0,0,1,false,-1,true,true,1,1,0,105,23,false,0,0,0,'clams oreganata',datasets/Set_I_DEV/review-002.txt,positive
0,0,0,1,false,-1,true,true,1,1,0,75,6,true,3,0,0,'West Coast Gigi',datasets/Set_I_DEV/review-002.txt,positive
0,1,1,0,false,-1,false,false,0,0,0,121,-1,false,0,0,0,steak,datasets/Set_I_DEV/review-002.txt,positive
0,0,1,0,false,-1,false,false,0,0,0,0,-1,false,0,0,0,lobster,datasets/Set_I_DEV/review-002.txt,positive
0,0,1,0,false,-1,false,false,0,0,0,-1,-1,false,1,0,0,'veal Marsala',datasets/Set_I_DEV/review-002.txt,positive
0,1,1,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,'chicken parm',datasets/Set_I_DEV/review-002.txt,positive
0,0,0,1,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,crab,datasets/Set_I_DEV/review-002.txt,positive
0,1,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,'mashed potatoes',datasets/Set_I_DEV/review-002.txt,positive
0,0,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,broccoli,datasets/Set_I_DEV/review-002.txt,positive
1,0,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,fries,datasets/Set_I_DEV/review-002.txt,positive
1,0,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,'creamed spinach',datasets/Set_I_DEV/review-002.txt,positive
0,0,0,0,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,'hash browns',datasets/Set_I_DEV/review-002.txt,positive
0,0,0,0,false,-1,false,false,0,0,0,0,-1,false,0,0,0,'crab cocktail',datasets/Set_I_DEV/review-002.txt,positive
1,0,0,0,false,-1,false,false,0,0,0,0,-1,false,0,0,0,'baked clams',datasets/Set_I_DEV/review-002.txt,positive
0,1,0,0,false,-1,true,false,0,0,0,-1,-1,false,0,0,0,cheesecake,datasets/Set_I_DEV/review-002.txt,positive
0,1,0,0,false,-1,false,false,0,0,0,5,-1,false,0,0,0,shrimp,datasets/Set_I_DEV/review-003.txt,positive
0,0,0,1,false,-1,false,false,0,0,0,-1,-1,false,0,0,0,ssamjang,datasets/Set_I_DEV/review-003.txt,positive
0,0,0,0,true,1,false,false,0,0,0,5,-1,false,0,0,0,'wilting arugula',datasets/Set_I_DEV/review-003.txt,positive
0,0,0,0,true,1,true,false,0,0,0,32,-1,false,0,0,0,'beet salad',datasets/Set_I_DEV/review-003.txt,positive
0,1,2,1,true,147,false,false,0,0,0,0,-1,true,1,0,0,Oysters,datasets/Set_I_DEV/review-003.txt,positive
0,0,0,0,true,82,false,false,0,0,0,0,-1,false,0,0,0,yakamein,datasets/Set_I_DEV/review-003.txt,positive
0,0,0,0,true,1,false,false,0,0,0,-1,-1,true,1,0,0,'Malaysian laksa',datasets/Set_I_DEV/review-003.txt,positive
0,1,0,1,true,1,false,false,0,0,0,4,-1,false,0,0,0,'shrimp ceviche',datasets/Set_I_DEV/review-003.txt,positive
0,0,0,0,true,1,false,false,0,0,0,-1,-1,false,0,0,0,'kamado grill',datasets/Set_I_DEV/review-003.txt,positive
