file name,start offset,end offset,negative sample
../datasets/text-documents-labeled_TRAIN/review-030.txt,2094,2109,delivers on its
../datasets/text-documents-labeled_TRAIN/review-030.txt,2094,2103,delivers 
../datasets/text-documents-labeled_TRAIN/review-030.txt,2103,2109,on its
../datasets/text-documents-labeled_TRAIN/review-030.txt,550,567,as keen followers
../datasets/text-documents-labeled_TRAIN/review-030.txt,471,474,as 
../datasets/text-documents-labeled_TRAIN/review-030.txt,553,567,keen followers
../datasets/text-documents-labeled_TRAIN/review-030.txt,2206,2220,the summer now
../datasets/text-documents-labeled_TRAIN/review-030.txt,81,85,the 
../datasets/text-documents-labeled_TRAIN/review-030.txt,2210,2220,summer now
../datasets/text-documents-labeled_TRAIN/review-030.txt,274,293,lighted by seashell
../datasets/text-documents-labeled_TRAIN/review-030.txt,274,282,lighted 
../datasets/text-documents-labeled_TRAIN/review-030.txt,282,293,by seashell
../datasets/text-documents-labeled_TRAIN/review-030.txt,115,125,t end soon
../datasets/text-documents-labeled_TRAIN/review-030.txt,88,90,t 
../datasets/text-documents-labeled_TRAIN/review-030.txt,117,125,end soon
../datasets/text-documents-labeled_TRAIN/review-030.txt,2144,2162,of rich blackstrap
../datasets/text-documents-labeled_TRAIN/review-030.txt,410,413,of 
../datasets/text-documents-labeled_TRAIN/review-030.txt,2147,2162,rich blackstrap
../datasets/text-documents-labeled_TRAIN/review-030.txt,2011,2023,hit of spicy
../datasets/text-documents-labeled_TRAIN/review-030.txt,2011,2015,hit 
../datasets/text-documents-labeled_TRAIN/review-030.txt,2015,2023,of spicy
../datasets/text-documents-labeled_TRAIN/review-030.txt,146,170,minus the inconveniences
../datasets/text-documents-labeled_TRAIN/review-030.txt,146,152,minus 
../datasets/text-documents-labeled_TRAIN/review-030.txt,152,170,the inconveniences
../datasets/text-documents-labeled_TRAIN/review-030.txt,257,273,painted gray and
../datasets/text-documents-labeled_TRAIN/review-030.txt,257,265,painted 
../datasets/text-documents-labeled_TRAIN/review-030.txt,265,273,gray and
../datasets/text-documents-labeled_TRAIN/review-030.txt,2024,2038,peppers on the
../datasets/text-documents-labeled_TRAIN/review-030.txt,2024,2032,peppers 
../datasets/text-documents-labeled_TRAIN/review-030.txt,1504,1510,on the
../datasets/text-documents-labeled_TRAIN/review-031.txt,1508,1517,s a thick
../datasets/text-documents-labeled_TRAIN/review-031.txt,59,61,s 
../datasets/text-documents-labeled_TRAIN/review-031.txt,1510,1517,a thick
../datasets/text-documents-labeled_TRAIN/review-031.txt,1750,1760,much of it
../datasets/text-documents-labeled_TRAIN/review-031.txt,1750,1755,much 
../datasets/text-documents-labeled_TRAIN/review-031.txt,1755,1760,of it
../datasets/text-documents-labeled_TRAIN/review-031.txt,753,770,German mission to
../datasets/text-documents-labeled_TRAIN/review-031.txt,753,760,German 
../datasets/text-documents-labeled_TRAIN/review-031.txt,760,770,mission to
../datasets/text-documents-labeled_TRAIN/review-031.txt,1570,1588,dried flowers tied
../datasets/text-documents-labeled_TRAIN/review-031.txt,1570,1576,dried 
../datasets/text-documents-labeled_TRAIN/review-031.txt,1576,1588,flowers tied
../datasets/text-documents-labeled_TRAIN/review-031.txt,1650,1659,a top hat
../datasets/text-documents-labeled_TRAIN/review-031.txt,61,63,a 
../datasets/text-documents-labeled_TRAIN/review-031.txt,1652,1659,top hat
../datasets/text-documents-labeled_TRAIN/review-031.txt,771,789,the United Nations
../datasets/text-documents-labeled_TRAIN/review-031.txt,6,10,the 
../datasets/text-documents-labeled_TRAIN/review-031.txt,775,789,United Nations
../datasets/text-documents-labeled_TRAIN/review-031.txt,521,533,who tops off
../datasets/text-documents-labeled_TRAIN/review-031.txt,521,525,who 
../datasets/text-documents-labeled_TRAIN/review-031.txt,525,533,tops off
../datasets/text-documents-labeled_TRAIN/review-031.txt,480,493,by the genial
../datasets/text-documents-labeled_TRAIN/review-031.txt,480,483,by 
../datasets/text-documents-labeled_TRAIN/review-031.txt,483,493,the genial
../datasets/text-documents-labeled_TRAIN/review-031.txt,1474,1485,the room is
../datasets/text-documents-labeled_TRAIN/review-031.txt,6,10,the 
../datasets/text-documents-labeled_TRAIN/review-031.txt,1478,1485,room is
../datasets/text-documents-labeled_TRAIN/review-031.txt,552,570,conversation as if
../datasets/text-documents-labeled_TRAIN/review-031.txt,552,565,conversation 
../datasets/text-documents-labeled_TRAIN/review-031.txt,565,570,as if
../datasets/text-documents-labeled_TRAIN/review-032.txt,197,209,at the table
../datasets/text-documents-labeled_TRAIN/review-032.txt,165,168,at 
../datasets/text-documents-labeled_TRAIN/review-032.txt,200,209,the table
../datasets/text-documents-labeled_TRAIN/review-032.txt,1364,1380,s more inventive
../datasets/text-documents-labeled_TRAIN/review-032.txt,98,100,s 
../datasets/text-documents-labeled_TRAIN/review-032.txt,1366,1380,more inventive
../datasets/text-documents-labeled_TRAIN/review-032.txt,304,319,jelly and three
../datasets/text-documents-labeled_TRAIN/review-032.txt,304,310,jelly 
../datasets/text-documents-labeled_TRAIN/review-032.txt,310,319,and three
../datasets/text-documents-labeled_TRAIN/review-032.txt,473,489,hint of audacity
