file name,start offset,end offset,dish name
./datasets/Set_J_TEST/review-076.txt,599,630,cheese and pickles
./datasets/Set_J_TEST/review-077.txt,770,792,gujeolpan
./datasets/Set_J_TEST/review-077.txt,1003,1024,pancakes
./datasets/Set_J_TEST/review-077.txt,1460,1479,Wagyu 
./datasets/Set_J_TEST/review-077.txt,1850,1871,bibimbap
./datasets/Set_J_TEST/review-077.txt,1926,1961,bulgogi jungol for two
./datasets/Set_J_TEST/review-078.txt,957,990,gently stuffed tacos
./datasets/Set_J_TEST/review-078.txt,1003,1057,taquitos dorados striped with salsa verde
./datasets/Set_J_TEST/review-078.txt,1070,1095,grilled corn
./datasets/Set_J_TEST/review-078.txt,1205,1225,gordita
./datasets/Set_J_TEST/review-078.txt,1493,1527,Ricardo’s guacamole
./datasets/Set_J_TEST/review-079.txt,342,373,house-ground balls
./datasets/Set_J_TEST/review-079.txt,461,478,beef
./datasets/Set_J_TEST/review-079.txt,518,538,chicken
./datasets/Set_J_TEST/review-079.txt,576,595,salmon
./datasets/Set_J_TEST/review-079.txt,619,636,lamb
./datasets/Set_J_TEST/review-079.txt,729,767,cherry-pepper-spiked pork
./datasets/Set_J_TEST/review-079.txt,917,955,mushroomy vegetable balls
./datasets/Set_J_TEST/review-079.txt,1081,1102,sandwich
./datasets/Set_J_TEST/review-079.txt,1138,1175,soft brioche “smash”
./datasets/Set_J_TEST/review-079.txt,1185,1205,sliders
./datasets/Set_J_TEST/review-079.txt,1226,1259,crusty baguette hero
./datasets/Set_J_TEST/review-079.txt,1284,1314,pasty white beans
./datasets/Set_J_TEST/review-079.txt,1328,1349,broccoli
./datasets/Set_J_TEST/review-079.txt,1367,1387,polenta
./datasets/Set_J_TEST/review-079.txt,1417,1452,baby arugula and apple
./datasets/Set_J_TEST/review-079.txt,1622,1655,ice cream sandwiches
./datasets/Set_J_TEST/review-080.txt,364,381,beef
./datasets/Set_J_TEST/review-080.txt,1145,1163,steak
./datasets/Set_J_TEST/review-080.txt,1334,1368,wet-aged filet mignon
./datasets/Set_J_TEST/review-080.txt,1824,1848,pork slices
./datasets/Set_J_TEST/review-080.txt,1856,1884,beef short ribs
./datasets/Set_J_TEST/review-080.txt,1954,1978,oxtail soup
./datasets/Set_J_TEST/review-080.txt,2004,2023,burger
./datasets/Set_J_TEST/review-080.txt,2134,2156,fried egg
./datasets/Set_J_TEST/review-080.txt,2285,2308,lamb chops
./datasets/Set_J_TEST/review-080.txt,2339,2375,plain grilled asparagus
./datasets/Set_J_TEST/review-080.txt,2447,2481,king oyster mushrooms
./datasets/Set_J_TEST/review-080.txt,2761,2788,scallion salad
./datasets/Set_J_TEST/review-080.txt,2956,2986,crisp steak fries
./datasets/Set_J_TEST/review-081.txt,697,725,cochinita pibil
./datasets/Set_J_TEST/review-081.txt,1522,1563,flan soaked in caramel syrup
./datasets/Set_J_TEST/review-082.txt,1504,1533,chocolate mousse
./datasets/Set_J_TEST/review-082.txt,1816,1850,chilled roasted leeks
./datasets/Set_J_TEST/review-082.txt,2059,2084,Chicken soup
./datasets/Set_J_TEST/review-082.txt,2392,2438,beefy-red roasted veal tenderloin
./datasets/Set_J_TEST/review-082.txt,2678,2714,pâté of pork and duck
./datasets/Set_J_TEST/review-082.txt,2859,2895,double-barreled ravioli
./datasets/Set_J_TEST/review-082.txt,3292,3316,poached egg
./datasets/Set_J_TEST/review-082.txt,3326,3355,oeuf en meurette
./datasets/Set_J_TEST/review-082.txt,3558,3595,poulet rôti grand-mère
./datasets/Set_J_TEST/review-082.txt,3824,3848,potato tart
./datasets/Set_J_TEST/review-082.txt,4122,4144,pork chop
./datasets/Set_J_TEST/review-082.txt,4332,4371,duck à l’orange for two
./datasets/Set_J_TEST/review-082.txt,4501,4532,sliced duck breast
./datasets/Set_J_TEST/review-082.txt,4959,4995,dark-chocolate soufflé
./datasets/Set_J_TEST/review-082.txt,5108,5132,Paris-Brest
./datasets/Set_J_TEST/review-082.txt,5238,5276,caramelized mille-feuille
./datasets/Set_J_TEST/review-082.txt,5368,5404,crème fraîche custard
./datasets/Set_J_TEST/review-082.txt,5439,5467,crème brûlée
./datasets/Set_J_TEST/review-082.txt,5589,5617,Belgian waffles
./datasets/Set_J_TEST/review-082.txt,6093,6117,egg noodles
./datasets/Set_J_TEST/review-082.txt,6137,6167,boeuf bourguignon
./datasets/Set_J_TEST/review-082.txt,6304,6334,trout Grenobloise
./datasets/Set_J_TEST/review-083.txt,1571,1589,kottu
./datasets/Set_J_TEST/review-083.txt,2413,2439,Crispy prawns
./datasets/Set_J_TEST/review-083.txt,3004,3033,disks of lentils
./datasets/Set_J_TEST/review-083.txt,3051,3075,ground beef
./datasets/Set_J_TEST/review-083.txt,3115,3145,salmon “cutlets
./datasets/Set_J_TEST/review-083.txt,3200,3221,Calamari
./datasets/Set_J_TEST/review-083.txt,3783,3806,watalappan
./datasets/Set_J_TEST/review-084.txt,1103,1156,springtime-sweet bowl of minted pea soup
./datasets/Set_J_TEST/review-084.txt,1264,1290,bouillabaisse
./datasets/Set_J_TEST/review-084.txt,1580,1614,fried zucchini flower
./datasets/Set_J_TEST/review-084.txt,1802,1838,slab of octopus terrine
./datasets/Set_J_TEST/review-084.txt,4590,4620,sea buckthorn jam
./datasets/Set_J_TEST/review-084.txt,4648,4692,potato salad with the schnitzel
./datasets/Set_J_TEST/review-084.txt,4866,4941,caramelized milk bread with berries and brown-butter ice cream
./datasets/Set_J_TEST/review-084.txt,5371,5408,flat-footed key lime pie
./datasets/Set_J_TEST/review-084.txt,5449,5503,poached fruit in a moat of sparkling wine
./datasets/Set_J_TEST/review-084.txt,5692,5725,several goat cheeses
./datasets/Set_J_TEST/review-084.txt,6401,6423,lamb chop
./datasets/Set_J_TEST/review-085.txt,2781,2809,branzino fillet
./datasets/Set_J_TEST/review-085.txt,3397,3418,branzino
./datasets/Set_J_TEST/review-085.txt,3474,3498,langoustine
./datasets/Set_J_TEST/review-085.txt,3559,3591,seared sea scallops
./datasets/Set_J_TEST/review-085.txt,3643,3677,Shaved black truffles
./datasets/Set_J_TEST/review-085.txt,3852,3877,baby octopus
./datasets/Set_J_TEST/review-085.txt,3941,3961,polenta
./datasets/Set_J_TEST/review-085.txt,4001,4019,Pasta
./datasets/Set_J_TEST/review-085.txt,4048,4071,Lasagnetta
./datasets/Set_J_TEST/review-085.txt,4239,4259,lasagna
./datasets/Set_J_TEST/review-085.txt,4368,4416,Spaghetti and shaved dried tuna roe
./datasets/Set_J_TEST/review-085.txt,4516,4545,green tagliolini
./datasets/Set_J_TEST/review-085.txt,5115,5149,rice in black risotto
./datasets/Set_J_TEST/review-085.txt,5259,5285,chop Milanese
./datasets/Set_J_TEST/review-085.txt,5457,5479,bomboloni
./datasets/Set_J_TEST/review-085.txt,5642,5663,fondente
./datasets/Set_J_TEST/review-085.txt,5799,5823,panna cotta
./datasets/Set_J_TEST/review-085.txt,5880,5898,salad
./datasets/Set_J_TEST/review-086.txt,3524,3553,vibrant tzatziki
./datasets/Set_J_TEST/review-086.txt,3558,3590,creamy taramosalata
./datasets/Set_J_TEST/review-086.txt,3746,3777,Kefi’s meatballs
./datasets/Set_J_TEST/review-086.txt,3984,4009,potato salad
./datasets/Set_J_TEST/review-086.txt,4194,4214,octopus
./datasets/Set_J_TEST/review-086.txt,4344,4371,fried calamari
./datasets/Set_J_TEST/review-086.txt,4660,4686,tubular pasta
./datasets/Set_J_TEST/review-086.txt,4854,4889,sheep’s milk ravioli
./datasets/Set_J_TEST/review-086.txt,5194,5225,braised lamb shank
./datasets/Set_J_TEST/review-086.txt,5416,5467,honeyed pastry with orange spoon fruit
./datasets/Set_J_TEST/review-086.txt,5492,5521,chocolate mousse
./datasets/Set_J_TEST/review-086.txt,6450,6477,Mix of spreads
./datasets/Set_J_TEST/review-086.txt,6479,6509,warm potato salad
./datasets/Set_J_TEST/review-086.txt,6511,6533,meatballs
./datasets/Set_J_TEST/review-086.txt,6535,6570,flat pasta with rabbit
./datasets/Set_J_TEST/review-086.txt,6572,6611,tubular pasta with sausage
./datasets/Set_J_TEST/review-086.txt,6613,6643,Kefi mac & cheese
./datasets/Set_J_TEST/review-086.txt,6645,6668,lamb shank
./datasets/Set_J_TEST/review-086.txt,6670,6721,galaktobouriko with orange spoon fruit
./datasets/Set_J_TEST/review-086.txt,6723,6771,chocolate mousse with sesame sorbet
./datasets/Set_J_TEST/review-087.txt,2796,2819,cacciatore
./datasets/Set_J_TEST/review-087.txt,2847,2871,Bayonne ham
./datasets/Set_J_TEST/review-087.txt,2957,2987,foie gras terrine
./datasets/Set_J_TEST/review-087.txt,3407,3435,tête de cochon
./datasets/Set_J_TEST/review-087.txt,3693,3722,codfish fritters
./datasets/Set_J_TEST/review-087.txt,3930,3960,fish ’n’ meat
./datasets/Set_J_TEST/review-087.txt,4487,4609,"peppery wild arugula<.dish>, with kumquats, mint, lemon, hazelnuts and a few shavings of <dish>ricotta salata"
./datasets/Set_J_TEST/review-087.txt,4678,4705,duck carpaccio
./datasets/Set_J_TEST/review-087.txt,4721,4754,chicken liver mousse
./datasets/Set_J_TEST/review-087.txt,4803,4826,Pork belly
./datasets/Set_J_TEST/review-087.txt,4959,4985,romesco sauce
./datasets/Set_J_TEST/review-087.txt,5094,5129,sweetbread fried crisp
./datasets/Set_J_TEST/review-087.txt,5372,5396,ocean trout
./datasets/Set_J_TEST/review-087.txt,5644,5676,golden baby chicken
./datasets/Set_J_TEST/review-087.txt,5898,5926,roasted scallop
./datasets/Set_J_TEST/review-087.txt,5952,5979,braised oxtail
./datasets/Set_J_TEST/review-087.txt,6185,6220,roasted apple napoleon
./datasets/Set_J_TEST/review-087.txt,6293,6328,deconstructed s’more
./datasets/Set_J_TEST/review-088.txt,510,555,red sausage roasted in dark beer
./datasets/Set_J_TEST/review-088.txt,561,596,sourdough rye in slabs
./datasets/Set_J_TEST/review-088.txt,673,697,chuck roast
./datasets/Set_J_TEST/review-088.txt,2136,2160,red cabbage
./datasets/Set_J_TEST/review-088.txt,2327,2348,Muenster
./datasets/Set_J_TEST/review-088.txt,2846,2889,schnitzel with golden crevices
./datasets/Set_J_TEST/review-088.txt,2903,2935,paprika-shy goulash
./datasets/Set_J_TEST/review-088.txt,2955,2983,potato pancakes
./datasets/Set_J_TEST/review-088.txt,3361,3387,apple strudel
./datasets/Set_J_TEST/review-089.txt,178,207,lamb and chicken
./datasets/Set_J_TEST/review-089.txt,1393,1410,lamb
./datasets/Set_J_TEST/review-089.txt,1504,1524,chicken
./datasets/Set_J_TEST/review-089.txt,1542,1562,falafel
./datasets/Set_J_TEST/review-089.txt,1790,1807,rice
./datasets/Set_J_TEST/review-089.txt,2026,2049,Sandwiches
./datasets/Set_J_TEST/review-089.txt,2375,2393,kufta
./datasets/Set_J_TEST/review-089.txt,2493,2514,basbousa
./datasets/Set_J_TEST/review-089.txt,2518,2544,semolina cake
./datasets/Set_J_TEST/review-089.txt,3170,3194,white sauce
./datasets/Set_J_TEST/review-090.txt,112,130,steak
./datasets/Set_J_TEST/review-090.txt,595,618,meat sushi
./datasets/Set_J_TEST/review-090.txt,745,791,Raw tripe with a spicy miso sauce
./datasets/Set_J_TEST/review-090.txt,859,909,flash-boiled shredded Achilles tendon
./datasets/Set_J_TEST/review-090.txt,1055,1083,Cubed raw liver
