file name,start offset,end offset,dish name
../datasets/text-documents-labeled/review-030.txt,879,910,crispy rock shrimp
../datasets/text-documents-labeled/review-030.txt,957,992,fried shishito peppers
../datasets/text-documents-labeled/review-030.txt,1112,1139,croque señora
../datasets/text-documents-labeled/review-030.txt,1308,1328,ceviche
../datasets/text-documents-labeled/review-030.txt,1582,1607,"mango-
 cake"
../datasets/text-documents-labeled/review-031.txt,426,448,schnitzel
../datasets/text-documents-labeled/review-031.txt,1061,1082,spaetzle
../datasets/text-documents-labeled/review-031.txt,1156,1182,stack of ribs
../datasets/text-documents-labeled/review-031.txt,1294,1320,Freekeh salad
../datasets/text-documents-labeled/review-032.txt,62,86,Cold cheese
../datasets/text-documents-labeled/review-032.txt,681,703,foie gras
../datasets/text-documents-labeled/review-032.txt,832,859,shrimp tempura
../datasets/text-documents-labeled/review-032.txt,1587,1612,hamachi jaws
../datasets/text-documents-labeled/review-032.txt,1723,1743,Sashimi
../datasets/text-documents-labeled/review-032.txt,1748,1766,sushi
../datasets/text-documents-labeled/review-032.txt,2122,2151,sea-urchin chips
../datasets/text-documents-labeled/review-033.txt,165,191,arugula salad
../datasets/text-documents-labeled/review-033.txt,207,227,fusilli
../datasets/text-documents-labeled/review-033.txt,480,513,stracciatella cheese
../datasets/text-documents-labeled/review-033.txt,532,550,speck
../datasets/text-documents-labeled/review-033.txt,563,586,moscardini
../datasets/text-documents-labeled/review-033.txt,643,662,Tiella
../datasets/text-documents-labeled/review-033.txt,1153,1176,flat pasta
../datasets/text-documents-labeled/review-033.txt,1262,1292,salumi and cheese
../datasets/text-documents-labeled/review-033.txt,1391,1433,Chickpea fritters with cheese
../datasets/text-documents-labeled/review-033.txt,1689,1712,lamb chops
../datasets/text-documents-labeled/review-033.txt,1790,1808,salad
../datasets/text-documents-labeled/review-033.txt,1977,2000,sformatino
../datasets/text-documents-labeled/review-033.txt,2059,2091,Mediterranean orata
../datasets/text-documents-labeled/review-033.txt,2288,2334,simple pasta with sautéed shrimp
../datasets/text-documents-labeled/review-033.txt,2370,2432,"whole-wheat spaghetti, speck and wilted radicchio"
../datasets/text-documents-labeled/review-033.txt,2740,2765,ricotta cake
../datasets/text-documents-labeled/review-033.txt,2769,2790,tiramisu
../datasets/text-documents-labeled/review-034.txt,496,525,lime paneer roll
../datasets/text-documents-labeled/review-034.txt,1156,1178,behl pori
../datasets/text-documents-labeled/review-034.txt,1377,1399,Jaal mori
../datasets/text-documents-labeled/review-034.txt,1799,1824,chicken roll
../datasets/text-documents-labeled/review-035.txt,452,478,fried chicken
../datasets/text-documents-labeled/review-035.txt,530,558,pimiento cheese
../datasets/text-documents-labeled/review-035.txt,595,624,banana cream pie
../datasets/text-documents-labeled/review-035.txt,641,666,French fries
../datasets/text-documents-labeled/review-035.txt,679,725,"craggy, tangy buttermilk biscuits"
../datasets/text-documents-labeled/review-035.txt,732,752,Chicken
../datasets/text-documents-labeled/review-035.txt,872,900,mahogany chunks
../datasets/text-documents-labeled/review-035.txt,1002,1028,fried-chicken
../datasets/text-documents-labeled/review-035.txt,1543,1565,Chickwich
../datasets/text-documents-labeled/review-035.txt,1777,1805,mashed potatoes
../datasets/text-documents-labeled/review-035.txt,1839,1868,bland corn salad
../datasets/text-documents-labeled/review-035.txt,1874,1905,carrot-raisin slaw
../datasets/text-documents-labeled/review-035.txt,2059,2085,club sandwich
