name,address,zipcode,cuisine
barn joo 35,"34 w 35th st, ,",10001,korean gastropubs tapas/small plates
friedman's,"132 w 31st st, ,",10001,american (new) gluten-free breakfast & brunch
juniper,"237 w 35th st,",10001,cocktail bars american (new)
haymaker bar and kitchen,"252 w 29th st, ,",10001,gastropubs beer bar
izakaya mew,"53 w 35th st, basement,",10001,sushi bars izakaya cocktail bars
rocket pig,"463 w 24th st, ,",10001,american (new)
chelsea station,"290 8th ave,",10001,mediterranean american (new) italian
ulivo,"4 w 28th st, ,",10001,italian cocktail bars
the maze,"32 w 32nd st, fl 3,",10001,korean cocktail bars mexican
woorijip authentic korean food,"12 w 32nd st, ,",10001,korean
jongro bbq,"22 w 32nd st, ,",10001,korean barbeque beer bar
five senses,"9 w 32nd st, ,",10001,korean barbeque
black iron burger,"333 7th ave,",10001,burgers
riko peruvian cuisine,"409 8th ave, ,",10001,peruvian latin american seafood
till & sprocket,"140 w 30th st, ,",10001,american (new) cafes bars
kobeyaki,"293 7th ave, ,",10001,japanese sushi bars burgers
dadam,"11 west 32nd st, fl 2,",10001,korean food court
jun-men ramen bar,"249 9th ave,",10001,ramen
ocabanon,"245 w 29th st,",10001,french wine bars tapas bars
ilili,"236 5th ave, ,",10001,mediterranean lebanese
smithfield,"138 w 25th st, ,",10001,pubs american (traditional) sports bars
abiko curry,"2 w 32nd st,",10001,japanese
petit poulet,"52 w 33rd st, ,",10001,french wine bars
muk eun ji,"34 w 32nd st, fl 1,",10001,korean barbeque
turntable chicken jazz,"314 5th ave, 2nd fl,",10001,chicken wings lounges american (new)
citizens of chelsea,"401 w 25th st,",10001,coffee & tea breakfast & brunch
porteno restaurant,"299 10th ave, ,",10001,argentine
blu restaurant,"hotel indigo, 127 w 28th st,",10001,american (new) italian
lemony,"224 w 35th st, ,",10001,greek salad desserts
cajunsea & oyster bar,"32 w 33rd st,",10001,cajun/creole seafood breakfast & brunch
asura asian bistro,"235 w 35th st, ,",10001,chinese asian fusion bars
osamil,"5 west 31st st,",10001,korean gastropubs cocktail bars
stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars
death ave,"315 10th ave, ,",10001,greek american (new) beer gardens
best bagel and coffee,"225 w 35th st, ,",10001,bagels coffee & tea breakfast & brunch
bcd tofu house,"5w 32nd st, ,",10001,korean
sweet churros with coffeed,"food gallery 32, 11 w 32nd st,",10001,coffee & tea desserts sandwiches
gallow green,"542 w 27th st, ,",10001,cocktail bars american (new)
pepe giallo,"253 10th ave,",10001,italian
american beauty,"251 w 30th st, ,",10001,bars music venues pizza
the nomad restaurant,"1170 broadway, ,",10001,french american (new) gastropubs
zhà pan asian,"33rd st and broadway, ,",10001,pan asian
deweys pub,"135 w 30th st, ,",10001,gastropubs
ovest pizzoteca,"513 w 27th st, ,",10001,pizza italian cocktail bars
l & w oyster co.,"254 5th ave, ,",10001,seafood
mulberry & vine,"55 w 27th st, ,",10001,american (new)
pn wood fired pizza,"2 w 28th st, ,",10001,pizza
hee korean bbq grill,"793 6th ave,",10001,korean barbeque
alpha fusion,"365 w 34th st, ,",10001,asian fusion
l'amico nyc,"eventi hotel, 851 6th ave,",10001,italian
mamma guidara's,"10 w 28th st,",10001,italian
kobeque,"11 w 32nd st, ,",10001,korean barbeque
cafe hanamizuki,"143 w 29th st, ,",10001,cafes
ny pizza suprema,"413 8th ave, ,",10001,pizza
hudson food market nyc,"312 11th ave,",10001,american (new) delis breakfast & brunch
milanes spanish restaurant,"168 w 25th st, ,",10001,spanish breakfast & brunch sandwiches
the heath,"542 w 27th st, ,",10001,bars music venues modern european
patiala indian food,"371 w 34th st, ,",10001,indian
e-mo,"2 w 32nd st, ,",10001,korean
waldy's wood fired pizza & penne,"800 6th ave,",10001,pizza
between the bread eatery - chelsea,"609 w 27th st,",10001,salad cafes
b&b restaurant corp,"165 w 26th st, ,",10001,african
seoul garden,"34 w 32nd st, 2nd fl,",10001,korean
takumi taco,"601 w 26th st, 17th fl,",10001,mexican seafood asian fusion
space nabi,"276 5th ave,",10001,gastropubs korean coffee & tea
my belly's playlist,"218 west 35th st,",10001,sandwiches american (new) fast food
sharaku,"288 8th ave, ,",10001,sushi bars
johny's luncheonette,"124 w 25th st, ,",10001,american (traditional) diners breakfast & brunch
a little taste,"148 w 28th st, ,",10001,cafes
biricchino,"260 w 29th st, ,",10001,italian
luna 29 cafe,"121 w 29th,",10001,cafes
dig inn,"1178 broadway,",10001,american (traditional)
kaptan's deck,"337 w 30th st, ,",10001,bars barbeque
ayza wine & chocolate bar,"11 w 31st st, ,",10001,wine bars desserts mediterranean
impero caffè,"132 w 27th st, ,",10001,italian
gigi cafe,"307 7th ave, ,",10001,desserts breakfast & brunch american (traditional)
pocha 32,"15 w 32nd st, 2nd fl,",10001,bars korean
chickpea,"penn station  amtrak concourse, 234 w 31st st,",10001,middle eastern
costas - south american arepas,"30 w 35th st,",10001,latin american
fork & spoon,"7 w 36th st, ,",10001,delis breakfast & brunch sandwiches
sid gold's request room,"165 w 26th st, ,",10001,cocktail bars desserts pizza
paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese
maggie reillys restaurant,"340 9th ave, ,",10001,pubs american (traditional)
the nomad bar,"10 w 28th st, , the nomad hotel",10001,cocktail bars
gaonnuri,"1250 broadway, 39th fl,",10001,korean cocktail bars
miss korea bbq,"10 w 32nd st, 1st, 2nd & 3rd fl,",10001,korean barbeque
new wonjo restaurant,"23 w 32nd st, ,",10001,korean
juicology,"387 8th ave, ,",10001,salad juice bars & smoothies sandwiches
teisui,"246 5th ave,",10001,japanese cocktail bars
