_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine,label
1003068,5272,20785,chick-fil-a,"1180 avenue of the americas,, ,",10036,fast food,ocd cafe,1196 avenue of the americas,10036,cafã©/coffee/tea,0
469420,2029,20213,mission ceviche,"353 w 14th st, ,",10014,seafood food stands peruvian,mo il gelato,353 w 14th st,10014,"ice cream, gelato, yogurt, ices",0
1123677,6975,23836,hong kong restaurant,"30 w 183rd st, ,",10453,chinese,hong kong kitchen,30 w 183rd st,10453,chinese,1
830665,3643,12177,effy's cafe,"104 w 96th st, ,",10025,kosher,effys cafe,104 w 96th st,10025,mediterranean,1
476336,2057,22820,the meatball guys nyc,"353 w 14th st, ,",10014,italian sandwiches,mission ceviche,353 w 14th st,10014,seafood,0
916386,4525,9904,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles,0
826151,3603,11178,koko wings,"248 w 106th st,",10025,korean chicken wings,koko wings,248 w 106th st,10025,chicken,1
915897,4504,22782,polanco restaurant & barbecue,"2421 adam clayton powell junior blvd, ,",10030,spanish barbeque,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood,0
1031298,5444,11745,mooncake foods,"111 john st (pearl street entrance),",10038,asian fusion chinese,mooncake foods,111 john street- pearl st side,10038,asian,1
853233,3913,8270,keur sokhna restaurant,"2249 adam clayton powell jr blvd, ,",10027,senegalese,asian fusion,2071 adam clayton powell jr blvd,10027,asian,0
258397,1220,2299,gg's,"511 e 5th st, ,",10009,american (new) pizza,gg's,511 e 5th st,10009,american,1
554524,2369,22438,great northern food hall,"grand central terminal, 89 e 42nd st",10017,food court bakeries delis,la chula taco & ceviches,89 e 42nd st,10017,mexican,0
445485,1934,22497,the black derby,"310 w 4th st,",10014,american (new),the black derby,310 w 4th st,10014,other,1
848648,3865,15534,chez alain,"2046 adam clayton powell jr blvd, ,",10027,senegalese,delhi masala restaurant,2077 adam clayton powell jr blvd,10027,indian,0
916393,4525,22908,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean,0
1212400,8265,366,pelham bay diner,"1920 e gun hill rd, ,",10469,diners american (new),ethics bar & lounge,1246 e gun hill rd,10469,caribbean,0
1144982,7295,18843,oriental house,"565 e 184th st, ,",10458,chinese,oriental house,565 e 184th st,10458,chinese,1
993799,5240,20584,paramount bar & grill,"paramount hotel, 235 w 46th st,",10036,bars american (traditional),diamond horseshoe,235 w 46th st,10036,american,0
220630,723,7129,schnipper's quality kitchen,"1 new york plz, ,",10004,american (new) american (traditional) burgers,retro fitness,1 new york plz,10004,"juice, smoothies, fruit salads",0
1169508,7617,21898,la masa,"1000 morris park ave,",10462,comfort food colombian,la masa restaurant,1000 morris park ave,10462,"latin (cuban, dominican, puerto rican, south & central american)",1
915337,4481,22908,belle harlem,"2363 adam clayton powell blvd,",10030,american (new) southern,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean,0
125088,440,3932,the eddy,"342 e 6th st, ,",10003,american (new),the eddy,342 e 6th st,10003,american,1
195861,616,17069,the immigrant,"341 e 9th st,",10003,wine bars,the immigrant tap room,341 e 9th st,10003,other,1
974237,5183,16231,stk midtown,"1114 avenue of the americas, ,",10036,steakhouses american (new) cocktail bars,simon sips,1185 avenue of the americas,10036,cafã©/coffee/tea,0
210,0,19502,barn joo 35,"34 w 35th st, ,",10001,korean gastropubs tapas/small plates,barn joo 35,34 w 35th st,10001,korean,1
798439,3359,14922,simit + smith,"124 w 72nd st, ,",10023,bakeries coffee & tea breakfast & brunch,crepes & delices,124 w 72nd st,10023,cafã©/coffee/tea,0
909034,4418,16190,burger king,"154 e 116th st, ,",10029,burgers,burger king,154 e 116th st,10029,hamburgers,1
1180790,7766,241,smashburger,193 w 237th st,10463,burgers,smashburger,193 w 237th st,10463,american,1
915751,4499,19108,mcdonald's,2379 adam clayton powell jr blvd,10030,fast food burgers,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american,0
221853,743,21483,chop't,"1 new york plz, ,",10004,salad sandwiches,chipotle mexican grill,1 new york plz,10004,mexican,0
1117685,6868,21344,yankee stadium tours,"1 e 161st st, ,",10451,tours,new york yankees mvp club,1 e 161st st,10451,american,0
1003146,5272,17245,chick-fil-a,"1180 avenue of the americas,, ,",10036,fast food,pret a manger,1200 avenue of the americas,10036,sandwiches,0
533568,2274,21715,251 ginza sushi,"251 e 35th st, ,",10016,sushi bars japanese,ginza sushi,251 e 35th st,10016,japanese,1
