_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine
210,0,19502,barn joo 35,"34 w 35th st, ,",10001,korean gastropubs tapas/small plates,barn joo 35,34 w 35th st,10001,korean
345,1,19256,friedman's,"132 w 31st st, ,",10001,american (new) gluten-free breakfast & brunch,dee daa,132 w 31st st,10001,thai
911,2,23255,juniper,"237 w 35th st,",10001,cocktail bars american (new),juniper,237 w 35th st,10001,american
1040,3,18952,haymaker bar and kitchen,"252 w 29th st, ,",10001,gastropubs beer bar,haymaker bar & kitchen,252 w 29th st,10001,american
1416,4,1922,izakaya mew,"53 w 35th st, basement,",10001,sushi bars izakaya cocktail bars,mew,53 w 35th st,10001,japanese
1989,8,611,the maze,"32 w 32nd st, fl 3,",10001,korean cocktail bars mexican,the kunjip,32 w 32nd st,10001,korean
2676,10,5334,jongro bbq,"22 w 32nd st, ,",10001,korean barbeque beer bar,jongro bbq,22 w 32nd st,10001,korean
4955,18,9849,ocabanon,"245 w 29th st,",10001,french wine bars tapas bars,ocabanon,245 w 29th st,10001,french
5779,20,13406,smithfield,"138 w 25th st, ,",10001,pubs american (traditional) sports bars,smithfield hall,138 w 25th st,10001,american
5863,21,15005,abiko curry,"2 w 32nd st,",10001,japanese,paik's noodle,2 w 32nd st,10001,korean
5872,21,16106,abiko curry,"2 w 32nd st,",10001,japanese,krush,2 w 32nd st,10001,american
5888,21,10428,abiko curry,"2 w 32nd st,",10001,japanese,mandoo bar,2 w 32nd st,10001,korean
6067,21,154,abiko curry,"2 w 32nd st,",10001,japanese,ddm yupdduk,2 w 32nd st,10001,korean
6748,23,22347,muk eun ji,"34 w 32nd st, fl 1,",10001,korean barbeque,space billard,34 w 32nd st,10001,korean
7174,25,2208,citizens of chelsea,"401 w 25th st,",10001,coffee & tea breakfast & brunch,pushcart coffee,401 w 25th st,10001,cafã©/coffee/tea
7894,27,14405,blu restaurant,"hotel indigo, 127 w 28th st,",10001,american (new) italian,stix chelsea/hotel indigo/rooftop bar,127 w 28th st,10001,american
8245,28,22371,lemony,"224 w 35th st, ,",10001,greek salad desserts,lemony grill,224 w 35th st,10001,greek
8402,28,3854,lemony,"224 w 35th st, ,",10001,greek salad desserts,sushi fussion,224 w 35th st,10001,jewish/kosher
8679,29,15921,cajunsea & oyster bar,"32 w 33rd st,",10001,cajun/creole seafood breakfast & brunch,cajun sea,32 w 33rd st,10001,seafood
9404,32,20372,stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars,pizza bar,151 w 34th st,10001,pizza
9412,32,10729,stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars,just salad,151 w 34th st,10001,salads
