_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_phone,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_phone,rtable_cuisine
210,0,19502,barn joo 35,"34 w 35th st, ,",10001,2125644430.0,korean gastropubs tapas/small plates,barn joo 35,34 w 35th st,10001,2125644430,korean
345,1,19256,friedman's,"132 w 31st st, ,",10001,2129719400.0,american (new) gluten-free breakfast & brunch,dee daa,132 w 31st st,10001,2125600099,thai
911,2,23255,juniper,"237 w 35th st,",10001,2129672511.0,cocktail bars american (new),juniper,237 w 35th st,10001,2129672511,american
1040,3,18952,haymaker bar and kitchen,"252 w 29th st, ,",10001,6464298237.0,gastropubs beer bar,haymaker bar & kitchen,252 w 29th st,10001,6464298237,american
1416,4,1922,izakaya mew,"53 w 35th st, basement,",10001,6463689384.0,sushi bars izakaya cocktail bars,mew,53 w 35th st,10001,6463689384,japanese
1989,8,611,the maze,"32 w 32nd st, fl 3,",10001,6463778752.0,korean cocktail bars mexican,the kunjip,32 w 32nd st,10001,2122169487,korean
2676,10,5334,jongro bbq,"22 w 32nd st, ,",10001,2124732233.0,korean barbeque beer bar,jongro bbq,22 w 32nd st,10001,2124732233,korean
4955,18,9849,ocabanon,"245 w 29th st,",10001,6466697879.0,french wine bars tapas bars,ocabanon,245 w 29th st,10001,6466697879,french
5779,20,13406,smithfield,"138 w 25th st, ,",10001,2129299677.0,pubs american (traditional) sports bars,smithfield hall,138 w 25th st,10001,2129299677,american
5863,21,15005,abiko curry,"2 w 32nd st,",10001,2126950888.0,japanese,paik's noodle,2 w 32nd st,10001,2126957272,korean
5872,21,16106,abiko curry,"2 w 32nd st,",10001,2126950888.0,japanese,krush,2 w 32nd st,10001,9178649456,american
5888,21,10428,abiko curry,"2 w 32nd st,",10001,2126950888.0,japanese,mandoo bar,2 w 32nd st,10001,2122793075,korean
6067,21,154,abiko curry,"2 w 32nd st,",10001,2126950888.0,japanese,ddm yupdduk,2 w 32nd st,10001,2126438488,korean
