_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine,label
239,0,19502,barn joo 35,"34 w 35th st, ,",10001,korean gastropubs tapas/small plates,barn joo 35,34 w 35th st,10001,korean,1
366,1,19256,friedman's,"132 w 31st st, ,",10001,american (new) gluten-free breakfast & brunch,dee daa,132 w 31st st,10001,thai,0
661,2,23255,juniper,"237 w 35th st,",10001,cocktail bars american (new),juniper,237 w 35th st,10001,american,1
1217,3,18952,haymaker bar and kitchen,"252 w 29th st, ,",10001,gastropubs beer bar,haymaker bar & kitchen,252 w 29th st,10001,american,1
1595,4,1922,izakaya mew,"53 w 35th st, basement,",10001,sushi bars izakaya cocktail bars,mew,53 w 35th st,10001,japanese,1
2076,8,611,the maze,"32 w 32nd st, fl 3,",10001,korean cocktail bars mexican,the kunjip,32 w 32nd st,10001,korean,0
2081,8,23896,the maze,"32 w 32nd st, fl 3,",10001,korean cocktail bars mexican,the maze,32 w 32nd st,10001,korean,1
2405,9,14910,woorijip authentic korean food,"12 w 32nd st, ,",10001,korean,gong cha,12 w 32nd st,10001,cafã©/coffee/tea,0
2767,10,5334,jongro bbq,"22 w 32nd st, ,",10001,korean barbeque beer bar,jongro bbq,22 w 32nd st,10001,korean,1
3090,11,1905,five senses,"9 w 32nd st, ,",10001,korean barbeque,5 senses,9 w 32nd st,10001,korean,0
3164,11,13617,five senses,"9 w 32nd st, ,",10001,korean barbeque,gammeeok,9 w 32nd st,10001,korean,0
5349,18,9849,ocabanon,"245 w 29th st,",10001,french wine bars tapas bars,ocabanon,245 w 29th st,10001,french,1
6037,20,13406,smithfield,"138 w 25th st, ,",10001,pubs american (traditional) sports bars,smithfield hall,138 w 25th st,10001,american,1
6112,21,16106,abiko curry,"2 w 32nd st,",10001,japanese,krush,2 w 32nd st,10001,american,0
6148,21,10428,abiko curry,"2 w 32nd st,",10001,japanese,mandoo bar,2 w 32nd st,10001,korean,0
6723,23,22347,muk eun ji,"34 w 32nd st, fl 1,",10001,korean barbeque,space billard,34 w 32nd st,10001,korean,0
7175,25,2208,citizens of chelsea,"401 w 25th st,",10001,coffee & tea breakfast & brunch,pushcart coffee,401 w 25th st,10001,cafã©/coffee/tea,1
7847,27,14405,blu restaurant,"hotel indigo, 127 w 28th st,",10001,american (new) italian,stix chelsea/hotel indigo/rooftop bar,127 w 28th st,10001,american,0
8167,28,3854,lemony,"224 w 35th st, ,",10001,greek salad desserts,sushi fussion,224 w 35th st,10001,jewish/kosher,0
8354,29,15921,cajunsea & oyster bar,"32 w 33rd st,",10001,cajun/creole seafood breakfast & brunch,cajun sea,32 w 33rd st,10001,seafood,1
9347,32,7012,stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars,"auntie anne's pretzels, pinkberry",151 w 34th st,10001,hotdogs/pretzels,0
9502,32,10729,stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars,just salad,151 w 34th st,10001,salads,0
9609,32,20372,stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars,pizza bar,151 w 34th st,10001,pizza,0
10617,39,13178,american beauty,"251 w 30th st, ,",10001,bars music venues pizza,slake,251 w 30th st,10001,american,1
11452,42,19228,deweys pub,"135 w 30th st, ,",10001,gastropubs,dewey's pub,135 w 30th st,10001,american,1
