name,address,zipcode,cuisine
morgan cafe,341 9 avenue,10199,american
project parlor,742 myrtle avenue,11205,american
china xiang,360 w 42nd st,10036,asian
china express inn,15715 rockaway blvd,11434,chinese
jake's steakhouse,6031 broadway,10471,steak
te company,163 w 10th st,10014,cafã©/coffee/tea
lynx lounge,104-07 liberty avenue,11417,caribbean
dunkin' donuts,3114 ditmars boulevard,11105,donuts
roastown,267 west   34 street,10001,american
william greenberg jr desserts,1100 madison avenue,10028,cafã©/coffee/tea
joe's place,1841 westchester avenue,10472,"latin (cuban, dominican, puerto rican, south & central american)"
ten tan chinese restaurant,3864 10th ave,10034,chinese
fishnet fresh seafood,345 e 98th st,11212,seafood
buongiorno espresso,502 9 avenue,10018,american
summers,155 south 4th st.,11211,"juice, smoothies, fruit salads"
do cookie dough confections,550 laguardia pl,10012,other
el cacique bar restaurant,3294 atlantic avenue,11208,"latin (cuban, dominican, puerto rican, south & central american)"
flavors,100 west   23 street,10011,american
cold stone creamery,15714 crossbay boulevard,11414,"ice cream, gelato, yogurt, ices"
elegant chinese restaurant,21206 hillside avenue,11427,chinese
schnippers,570 lexington ave,10022,american
smiling pizza,323 7 avenue,11215,pizza
patrizias of brooklyn,462 2nd ave,10016,italian
subway,610 gateway center blvd,10451,sandwiches
el khayam cafe,2572 steinway st,11103,cafã©/coffee/tea
remedy diner,245 east houston street,10002,american
hale & hearty soup,2 metrotech ctr,11201,soups & sandwiches
pardon my french,103 avenue b,10009,french
dunkin' donuts,3080 boston road,10469,cafã©/coffee/tea
days inn/the zone bar & restaurant,137-08 redding street,11417,american
la comadre mexican restaurant & bakery,75-10a jamaica avenue,11421,mexican
happy garden restaurant,706 morris park avenue,10462,chinese
the paper box,17 meadow street,11206,american
camaradas el barrio,2241 1 avenue,10029,polynesian
peacock alley,301 park ave,10022,american
equinox,2465 broadway,10025,american
ethics bar & lounge,1246 e gun hill rd,10469,caribbean
stand 331,1 east 161 street,10451,american
pita express,15 ann st,10038,jewish/kosher
mcdonald's,8003 queens boulevard,11373,american
tea shop 168 & bakery,5920 main street,11355,chinese
dunkin' donuts,527 metropolitan ave,11211,cafã©/coffee/tea
homemade taqueria,7103 grand ave,11378,mexican
la cienega oaxaca deli,10432 corona ave,11368,mexican
wendy's,9001 ditmas ave,11236,american
peter dillon's,385 5 avenue,10016,irish
wendy's,79 e 125th st,10035,american
vamos al tequila,162 franklin street,11222,mexican
t.g.i. friday's,280 marsh avenue,10314,american
mex carroll diner,192 columbia st,11231,american
puccini restaurant,2014 francis lewis boulevard,11357,italian
the lite choice,146 west   72 street,10023,"ice cream, gelato, yogurt, ices"
tanjia hukka bar,1752 bath avenue,11214,cafã©/coffee/tea
squire diner,80 beekman street,10038,american
tasti d-lite,1221 3 avenue,10021,"ice cream, gelato, yogurt, ices"
new red lantern,5701 fort hamilton pkwy,11219,chinese
jumbo's hamburgers,274 west  145 street,10039,hamburgers
little italy pizza,2047 broadway,10023,pizza
mills tavern,1409 myrtle avenue,11237,american
tre sorelle,61 reade street,10007,italian
lucky strike,624660 west   42 street,10036,american
florian cafe tattoria & bar,225 park ave s,10003,italian
our village roti shop,21161 jamaica avenue,11428,caribbean
e. sushi of brooklyn,2118 flatbush ave,11234,chinese/japanese
old man hustle,39 essex st,10002,american
cajun cafe & grill,2655 richmond ave,10314,cajun
noodle den,435 park avenue south,10016,thai
national bakery,944 intervale avenue,10459,bakery
tequilitas inc,7210 new utrecht ave,11228,mexican
monarch,960 6th ave,10001,american
kennedy fried chicken,157 dreiser loop,10475,chicken
subway,1427 york ave,10021,sandwiches
china express restaurant,4106 avenue d,11203,chinese
zorba's,2905 23 avenue,11105,greek
