name,address,zipcode,phone,cuisine,ID
barn joo 35,"34 w 35th st, ,",10001,2125644430.0,korean gastropubs tapas/small plates,0
friedman's,"132 w 31st st, ,",10001,2129719400.0,american (new) gluten-free breakfast & brunch,1
juniper,"237 w 35th st,",10001,2129672511.0,cocktail bars american (new),2
haymaker bar and kitchen,"252 w 29th st, ,",10001,6464298237.0,gastropubs beer bar,3
izakaya mew,"53 w 35th st, basement,",10001,6463689384.0,sushi bars izakaya cocktail bars,4
chelsea station,"290 8th ave,",10001,6466570165.0,mediterranean american (new) italian,6
the maze,"32 w 32nd st, fl 3,",10001,6463778752.0,korean cocktail bars mexican,8
woorijip authentic korean food,"12 w 32nd st, ,",10001,2122441115.0,korean,9
jongro bbq,"22 w 32nd st, ,",10001,2124732233.0,korean barbeque beer bar,10
black iron burger,"333 7th ave,",10001,6466660071.0,burgers,12
riko peruvian cuisine,"409 8th ave, ,",10001,2126437556.0,peruvian latin american seafood,13
till & sprocket,"140 w 30th st, ,",10001,2122390570.0,american (new) cafes bars,14
kobeyaki,"293 7th ave, ,",10001,2122425500.0,japanese sushi bars burgers,15
dadam,"11 west 32nd st, fl 2,",10001,9173759226.0,korean food court,16
jun-men ramen bar,"249 9th ave,",10001,6468526787.0,ramen,17
ocabanon,"245 w 29th st,",10001,6466697879.0,french wine bars tapas bars,18
ilili,"236 5th ave, ,",10001,2126832929.0,mediterranean lebanese,19
smithfield,"138 w 25th st, ,",10001,2129299677.0,pubs american (traditional) sports bars,20
abiko curry,"2 w 32nd st,",10001,2126950888.0,japanese,21
petit poulet,"52 w 33rd st, ,",10001,2122440440.0,french wine bars,22
muk eun ji,"34 w 32nd st, fl 1,",10001,2127360099.0,korean barbeque,23
turntable chicken jazz,"314 5th ave, 2nd fl,",10001,2127149700.0,chicken wings lounges american (new),24
citizens of chelsea,"401 w 25th st,",10001,6466493079.0,coffee & tea breakfast & brunch,25
porteno restaurant,"299 10th ave, ,",10001,2126959694.0,argentine,26
blu restaurant,"hotel indigo, 127 w 28th st,",10001,6464844330.0,american (new) italian,27
lemony,"224 w 35th st, ,",10001,2126958300.0,greek salad desserts,28
cajunsea & oyster bar,"32 w 33rd st,",10001,2125647333.0,cajun/creole seafood breakfast & brunch,29
asura asian bistro,"235 w 35th st, ,",10001,2126299888.0,chinese asian fusion bars,30
osamil,"5 west 31st st,",10001,2123004713.0,korean gastropubs cocktail bars,31
stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,2129679251.0,italian pizza cocktail bars,32
death ave,"315 10th ave, ,",10001,2126958080.0,greek american (new) beer gardens,33
best bagel and coffee,"225 w 35th st, ,",10001,2125644409.0,bagels coffee & tea breakfast & brunch,34
bcd tofu house,"5w 32nd st, ,",10001,2129671900.0,korean,35
pepe giallo,"253 10th ave,",10001,2122426055.0,italian,38
american beauty,"251 w 30th st, ,",10001,2126958970.0,bars music venues pizza,39
the nomad restaurant,"1170 broadway, ,",10001,3474725660.0,french american (new) gastropubs,40
zhà pan asian,"33rd st and broadway, ,",10001,,pan asian,41
deweys pub,"135 w 30th st, ,",10001,2126857781.0,gastropubs,42
ovest pizzoteca,"513 w 27th st, ,",10001,2129674392.0,pizza italian cocktail bars,43
l & w oyster co.,"254 5th ave, ,",10001,2122037772.0,seafood,44
mulberry & vine,"55 w 27th st, ,",10001,2122528468.0,american (new),45
pn wood fired pizza,"2 w 28th st, ,",10001,6469644834.0,pizza,46
hee korean bbq grill,"793 6th ave,",10001,2122061224.0,korean barbeque,47
alpha fusion,"365 w 34th st, ,",10001,2122798887.0,asian fusion,48
l'amico nyc,"eventi hotel, 851 6th ave,",10001,2122014065.0,italian,49
mamma guidara's,"10 w 28th st,",10001,3474725688.0,italian,50
cafe hanamizuki,"143 w 29th st, ,",10001,2126955533.0,cafes,52
hudson food market nyc,"312 11th ave,",10001,2129679077.0,american (new) delis breakfast & brunch,54
milanes spanish restaurant,"168 w 25th st, ,",10001,2122439797.0,spanish breakfast & brunch sandwiches,55
the heath,"542 w 27th st, ,",10001,2125641662.0,bars music venues modern european,56
patiala indian food,"371 w 34th st, ,",10001,2125648255.0,indian,57
e-mo,"2 w 32nd st, ,",10001,2125941466.0,korean,58
waldy's wood fired pizza & penne,"800 6th ave,",10001,2122135042.0,pizza,59
between the bread eatery - chelsea,"609 w 27th st,",10001,2127651687.0,salad cafes,60
b&b restaurant corp,"165 w 26th st, ,",10001,6464298174.0,african,61
seoul garden,"34 w 32nd st, 2nd fl,",10001,2127369002.0,korean,62
takumi taco,"601 w 26th st, 17th fl,",10001,9177104757.0,mexican seafood asian fusion,63
space nabi,"276 5th ave,",10001,2126852727.0,gastropubs korean coffee & tea,64
johny's luncheonette,"124 w 25th st, ,",10001,2122436230.0,american (traditional) diners breakfast & brunch,67
biricchino,"260 w 29th st, ,",10001,2126956690.0,italian,69
luna 29 cafe,"121 w 29th,",10001,6465906977.0,cafes,70
dig inn,"1178 broadway,",10001,2123352010.0,american (traditional),71
kaptan's deck,"337 w 30th st, ,",10001,,bars barbeque,72
ayza wine & chocolate bar,"11 w 31st st, ,",10001,2127142992.0,wine bars desserts mediterranean,73
impero caffè,"132 w 27th st, ,",10001,9174095171.0,italian,74
gigi cafe,"307 7th ave, ,",10001,2128078500.0,desserts breakfast & brunch american (traditional),75
pocha 32,"15 w 32nd st, 2nd fl,",10001,2122791876.0,bars korean,76
chickpea,"penn station  amtrak concourse, 234 w 31st st,",10001,2122440101.0,middle eastern,77
costas - south american arepas,"30 w 35th st,",10001,6465643545.0,latin american,78
fork & spoon,"7 w 36th st, ,",10001,2122443203.0,delis breakfast & brunch sandwiches,79
sid gold's request room,"165 w 26th st, ,",10001,2122291948.0,cocktail bars desserts pizza,80
paik's noodle,"2 w 32nd st, fl 2",10001,2126957272.0,korean noodles chinese,81
maggie reillys restaurant,"340 9th ave, ,",10001,6464763209.0,pubs american (traditional),82
the nomad bar,"10 w 28th st, , the nomad hotel",10001,2127961500.0,cocktail bars,83
miss korea bbq,"10 w 32nd st, 1st, 2nd & 3rd fl,",10001,2127363232.0,korean barbeque,85
new wonjo restaurant,"23 w 32nd st, ,",10001,2126955815.0,korean,86
juicology,"387 8th ave, ,",10001,2126950628.0,salad juice bars & smoothies sandwiches,87
shanghai mong,"30 w 32nd st,",10001,2126296450.0,korean chinese asian fusion,89
gammeeok,"9 w 32nd st, 2nd fl,",10001,2128681180.0,korean,90
grand sichuan,"229 9th ave, ,",10001,2126205200.0,chinese,91
american whiskey,"247 w 30th st, ,",10001,2129671070.0,american (new) cocktail bars sports bars,92
trattoria bianca,"481 8th ave, ,",10001,2122688460.0,italian,94
a&h deli,"431 7th ave, ,",10001,2125636200.0,delis breakfast & brunch asian fusion,95
hyo dong gak,"51 w 35th st, ,",10001,2126957167.0,korean chinese,96
foley's ny,"18 w 33rd st, ,",10001,2122900080.0,american (traditional) pubs,97
hoa kitchen,"370 8th ave, ,",10001,2126431588.0,vietnamese chinese asian fusion,98
the vine - eventi hotel,"851 avenue of the americas, ,",10001,2122014065.0,american (new) bars,99
nick & stef's steakhouse,"9 penn plz,",10001,2125634444.0,steakhouses,100
rock & reilly's nyc,"218 w 35th st, ,",10001,6468502850.0,sports bars american (traditional) burgers,101
ny study room,"312 5th ave, fl 5,",10001,6464499255.0,cafes libraries,102
brooklyn bagel & coffee company,"286 8th ave, ,",10001,2129242824.0,bagels breakfast & brunch cafes,104
the kunjip,"32 w 32nd st, ,",10001,2125648238.0,korean,105
gyro cart,"nw corner of w 31st st and 8th ave, ,",10001,,food stands,106
sullivan street bakery,"236 9th ave, ,",10001,2129295900.0,bakeries breakfast & brunch cafes,107
sushi fussion nyc,"224 w 35th st, ,",10001,6464765246.0,sushi bars asian fusion,108
trestle on tenth,"242 10th ave, ,",10001,2126455659.0,american (new),109
cafe rustico ii,"25 w 35th st, ,",10001,2127361114.0,italian pizza,110
highline pizza,"503 w 28th st,",10001,2125643330.0,pizza,111
the breslin bar & dining room,"16 w 29th st, ,",10001,2126791939.0,pubs gastropubs breakfast & brunch,113
lupulo,"835 6th ave, ,",10001,2122907600.0,seafood portuguese,114
cavallo pizzeria,"334 8th ave,",10001,2122560212.0,pizza,116
prime cafe,"125 w 26th st, ,",10001,7185135112.0,italian american (traditional) breakfast & brunch,118
b & d halal restaurant,"163b w 29th st, ,",10001,2122687602.0,african halal,119
the cinnamon snail at the pennsy,"2 penn plz, ,",10001,8622466431.0,vegan vegetarian,120
jack doyle's bar & restaurant,"240 w 35th st, ,",10001,2122681255.0,american (traditional) pubs irish,121
pennsylvania 6 nyc,"132 w 31st st,",10001,2127273666.0,american (new) breakfast & brunch seafood,122
stout nyc,"133 w 33rd st, ,",10001,2126296191.0,irish sports bars,123
hudson station,"440 9th ave, ,",10001,2122444406.0,american (traditional) sports bars,124
madison square tavern,"150 w 30th st, ,",10001,2122440410.0,bars american (new),128
shilla,"37 w 32nd st, ,",10001,2129671880.0,korean barbeque,129
chop shop,"254 10th ave,",10001,2128200333.0,asian fusion chinese thai,130
robert's steakhouse,"536 w 28th st, ,",10001,2128684900.0,steakhouses,131
pondicheri,"15 west 27th st,",10001,6468784375.0,indian,133
antojito mexicano,"6th avenue & 28th street, ,",10001,6468513825.0,mexican food stands,134
sweetgreen,"1164 broadway, ,",10001,6464498884.0,salad vegetarian,135
bella napoli,"257 7th ave, ,",10001,2126754050.0,italian pizza,136
contorno's restaurant,"30 w 31st st,",10001,2127600301.0,italian breakfast & brunch diners,137
skylight diner,"402 w 34th st, ,",10001,2122440395.0,diners american (traditional),138
statler grill,"136 w 33rd st, ,",10001,2127363353.0,american (traditional) steakhouses breakfast & brunch,139
the harold,"1271 broadway, ,",10001,2126861888.0,american (traditional) breakfast & brunch,140
anesis cafe,"42 w 35th st frnt 1, ,",10001,2127149720.0,restaurants,141
cloud 28,"127 w 28th st,",10001,6464844338.0,lounges breakfast & brunch sandwiches,143
hanok,"11 w 32nd st, ,",10001,,korean,144
