name,address,zipcode,phone,cuisine,ID
blenheim,283 west 12 sttreet,10014,2122437073,american,5602
la chula taco & ceviches,89 e 42nd st,10017,2125497500,mexican,22438
roof sports bar & grill,1805 nostrand ave,11226,7184839666,caribbean,20494
blue ribbon sushi bar & grill,6 columbus circle,10019,2123970404,japanese,1447
homemade falafel,3618 broadway,11106,7185450034,indian,13300
new tummy taco,17709 union tpke,11366,7185915521,tex-mex,22266
ooki sushi,1575 3 avenue,10128,2128283388,japanese,928
garden city chinese restaurant,22401 merrick blvd,11413,7185288886,chinese,7418
taim,222 waverly place,10014,2126916101,vegetarian,916
the williamsbridge tavern,1556 williamsbridge rd,10461,7188228430,american,3204
giuseppes pizza,341 lexington avenue,10016,2126834721,pizza/italian,9099
dunkin' donuts,407 avenue p,11223,7185131668,donuts,20915
don nico's,9014 161st st,11432,7182976426,mexican,5442
xing wang no.1,62 w burnside ave,10453,7189605543,chinese,4228
starbucks,425 madison avenue,10017,2126449462,cafã©/coffee/tea,21041
3 way restaurant,384 east  188 street,10458,7182959595,"latin (cuban, dominican, puerto rican, south & central american)",8751
subway,1351 forest avenue,10302,7187273555,sandwiches,9037
brooklyn pizzeria,1351 saint johns pl,11213,7187745000,pizza,12024
revel itm garden,10 little west   12 street,10014,2126455369,italian,15445
la fogata,1549 gates avenue,11237,3477894989,mexican,23061
deli plus ( inside port authority station),625 8 ave port authority,10018,2122445678,delicatessen,11790
new peperoni's pizza,1308 lafayette ave,10474,7184184948,pizza,200
sahra cafe lounge,2631 86th st,11223,3476519453,american,16444
club metropolitan,146 west   57 street,10019,2122627066,american,21375
coffeed,41 w 40th st,10018,3472646228,american,16279
bombay masala,148 west   49 street,10019,2123028150,indian,6446
burger king,9006 church avenue,11236,7184985574,hamburgers,6413
the continental,75 rutledge street,11249,7188750400,jewish/kosher,15975
cosinita,730 astor ave,10467,3478438050,mexican,7852
la dama's cookies,507 coney island ave,11218,3473183831,bakery,22053
vite bar,2507 broadway,11106,3478134702,italian,19201
sun hing restaurant,623 livonia avenue,11207,7183454215,chinese,11604
rose castle,380 flushing ave,11205,7187975500,jewish/kosher,12270
wendy's,7232 broadway,11372,7184581921,american,23489
il gnocchi restaurant,118 east  116 street,10029,2122892006,mexican,1299
el campeon de los pollos,11106 lefferts blvd,11420,7187385361,caribbean,12277
sunny's,253 conover street,11231,7186242932,american,1594
simon's bbq ii,5224 8th ave,11220,7184310788,chinese,4358
c'mon everybody,325 franklin ave,11238,9176274174,american,7002
kahlua's cafe & restaurant,2117 3 avenue,10029,2123480311,mexican,3970
bakare restaurant,524 w 207th st,10034,6469524148,spanish,17722
dugi's pizza,206 w 236th st,10463,3473267111,pizza,21557
linda asian kitchen,882 dekalb ave,11221,7185741686,chinese,12128
dos toros taqueria,189 bedford avenue,11211,7183848833,mexican,2985
la perla del ulua restaurant,354 melrose street,11237,7183669407,"latin (cuban, dominican, puerto rican, south & central american)",8909
el conde nuevo bar & restaurant,4139 broadway,10033,2127813231,spanish,1443
lynx lounge,104-07 liberty avenue,11417,3472641113,caribbean,69
pig and khao,68 clinton street,10002,2129204485,thai,2403
crave,2855 36 street,11103,7187264976,greek,13120
the w hotel banquets,201 park avenue south,10003,2122539119,american,14904
chicken house,270 west   36 street,10018,2126953493,american,12858
drink-tea,4722 8th ave,11220,3472778080,cafã©/coffee/tea,3077
luen hop,469 irving ave,11237,7183868731,chinese,19428
bruno's catering & cafe,282284 1 avenue,10009,2122542156,american,832
franny's,346348 flatbush avenue,11238,7182300221,italian,19686
ora di pasta,1 w 58th st,10019,6467553013,italian,9469
joe's pizza & pasta,5607 marathon pkwy,11362,7183524231,pizza/italian,16962
alliance bernstein,1345 avenue of the americas,10105,2129696179,american,12981
best garden chinese restaurant,4435 douglaston pkwy,11363,7186311888,chinese,12675
king's wok chinese restaurant,19906 linden blvd,11412,7182763838,chinese,10047
williamsburg pizza,265 union avenue,11211,7188558729,pizza/italian,4615
las americas bakery,9304 37 avenue,11372,7184581638,bakery,15153
campagna quattro gatti,205 east   81 street,10028,2125701073,italian,18430
mcdonald's,724 broadway,10003,2125299660,hamburgers,15406
skyline billard,2515 mcdonald avenue,11223,7186273407,american,7520
jimbo's hamburger place,690 melrose avenue,10455,7182928032,hamburgers,17875
red flame diner,67 west   44 street,10036,2128693965,american,7412
greenforce juice,2265 broadway,10024,2128770077,"juice, smoothies, fruit salads",15952
subway,9217 rockaway blvd,11417,9173468207,sandwiches,17719
rockaway roasters,9206 rockaway beach blvd,11693,7184742500,american,4630
baskin robbins,1976 86 street,11214,7184492759,"ice cream, gelato, yogurt, ices",5166
table green cafe,0 battery park,10004,2127416723,cafã©/coffee/tea,13569
guang hui restaurant,125 dreiser loop,10475,9173278186,chinese,23479
subway,4375a white plains rd,10466,7186535700,sandwiches,21784
knitting factory,361 metropolitan avenue,11211,3475296696,american,3758
tasty caribbean,856 utica ave,11203,7182828652,caribbean,11972
green cafe,599 6th ave,10011,2123665305,american,7942
highbury pub,1002 cortelyou rd,11218,7189081342,american,748
bennys,1802 avenue m,11230,7187870050,jewish/kosher,4314
the triple crown,330 7 avenue,10001,2127361575,irish,4370
shilla korean barbecue house,37 west   32 street,10001,2129671880,korean,3230
diamond forest yan's chinese kitchen,356 forest avenue,10301,7187206669,chinese,16222
hapisgah restaurant,14725 union turn pike,11367,7183804449,jewish/kosher,18079
new sunny restaurant,69 utica ave,11213,7184932211,chinese,14420
butterflies chinese food,145109 guy brewer boulevard,11434,7185288881,chinese,16082
jupioca,200 w 14th st,10011,9176818833,"juice, smoothies, fruit salads",7930
boss tweed's saloon,115 essex street,10002,2124759997,american,19645
sariling atin grill and pastry shop,4009 69th st,11377,7322788288,filipino,14794
butterfield catering,346 east   92 street,10128,2127728782,american,4320
glendale sport club,7403 myrtle avenue,11385,9174050389,cafã©/coffee/tea,10932
chickpea,0 penn station,10001,2122440101,american,17453
dragon china restaurant on bayridge,7917 3rd ave,11209,7182382202,chinese,13808
treat house,1566 2nd ave,10028,9173883557,american,6163
nourish kitchen + table,95 greenwich avenue,10014,2122426115,american,5509
martinique cafe,1260 broadway,10001,2122446523,american,11427
la playa restaurant,8716 rockaway beach boulevard,11693,7183188435,"latin (cuban, dominican, puerto rican, south & central american)",9593
crown fried chicken,5 somers street,11233,7184854911,chicken,14204
bombay heights,1047 bedford avenue,11216,7182307790,indian,13451
mcdonald's,289 9th st,11215,7188328600,hamburgers,17390
sweet sweet sue's,895 annadale road,10312,7189662253,american,22280
joe & john's pizza restaurant,5910 myrtle ave,11385,7184970078,pizza/italian,15752
so go cafe,37b allen street,10002,3473236633,chinese,13240
canyon road grill,1470 1 avenue,10075,2127341600,mexican,15857
nathan's famous,1310 surf avenue,11224,7183332202,hotdogs,10492
china star buffet,2179 ralph avenue,11234,7185312211,chinese,10337
cranberry's,48 henry street,11201,7186243500,american,3675
norbert's pizza,4 stuyvesant avenue,11221,5168400137,pizza,15800
europa cafe,11 penn plaza,10001,2126953939,sandwiches/salads/mixed buffet,17211
don alex restaurant,9544 roosevelt ave,11372,7184240123,peruvian,22794
auntie guan's kitchen 108,108 w 14th st,10011,2122068388,chinese,11724
a. churrasqueira restaurant,9529 sutphin boulevard,11435,7185235293,portuguese,5498
amy's cafe & bakery,5713 4th ave,11220,7187859981,bakery,15160
capitale,130 bowery,10013,2123345500,continental,3802
sarita's bakery,9412 corona avenue,11373,7187601034,bakery,8664
aba turkish restaurant,325 west   57 street,10019,2129691782,turkish,8669
mcdonald's,1499 3rd ave,10028,2126288100,american,23295
pan ugo bakery,8442 jamaica avenue,11421,7182964543,bakery,4946
corner grind,1183 bedford ave,11216,7186365600,american,10006
china inn buffet,691 coop city boulevard,10475,7183200909,chinese,12094
nabaya african american restuarant,860 melrose ave,10451,7184012283,african,20084
ms caridad restaurant,831 rosedale ave,10473,3472977547,spanish,12770
d love b,15828 crossbay blvd,11414,7188431201,chinese,13864
bistro caterers,466 lexington avenue,10017,2128084200,american,11668
superfine,126 front street,11201,7182439005,american,10620
scaddies caribbean restaurant,14704 foch boulevard,11436,3472381237,caribbean,5653
xifu food,318 livingston st,11217,7182378886,chinese,18788
ny pizza grill & cafe,9114 sutphin blvd,11435,7186581277,american,1627
cubana cafe,272 smith street,11231,7188583980,"latin (cuban, dominican, puerto rican, south & central american)",14274
pa-nash eurosoul restaurant & lounge,14414 243rd st,11422,7189786094,mediterranean,23627
murphy's tavern,6 stone street,10004,2124251700,american,14567
audrey bakery & cafe,12 chatham sq,10038,2126089188,bakery,10485
fuleen palace,10 coleman sq,11414,7188485877,chinese,20893
nosh! - courtyard by marriott,114 west   40 street,10018,2123910088,american,21169
teado tea shop,145d hester street,10002,2122267687,cafã©/coffee/tea,7069
claudio's cafe ii,3223 37 avenue,11101,7187262233,spanish,19224
domino's,943 1st ave,10022,2127596600,pizza,20554
hatsuhana restaurant,17 east   48 street,10017,2123553345,japanese,14397
la cocina boricua,2245 westchester avenue,10462,3472815375,"latin (cuban, dominican, puerto rican, south & central american)",880
subway,513 main street,10044,3472681222,sandwiches,11845
navruz cafe & bar,6112 20 avenue,11204,3473329319,cafã©/coffee/tea,9972
"dunkin' donuts, baskin robbins",1760 2 avenue,10128,2128763312,donuts,15495
alma,187 columbia street,11231,7186435400,mexican,14946
the izakaya,326 e 6th st,10003,9174751284,japanese,376
dunkin' donuts,2501 avenue u,11229,7183328918,american,17824
lily's cafe restaurant,53 east  167 street,10452,6464045480,"latin (cuban, dominican, puerto rican, south & central american)",8715
taco today,1659 1st ave,10028,2129968191,mexican,15134
syo japanese restaurant,2508 broadway,11106,7185450801,japanese,13550
taste bar cafe' @macys backstage,2027 emmons ave,11235,9292753490,american,14709
hops hill,886 fulton st,11238,3479874334,sandwiches,13863
