name,address,zipcode,cuisine
Barn Joo 35,"34 W 35th St, ,",10001,Korean Gastropubs Tapas/Small Plates
Friedman's,"132 W 31st St, ,",10001,American (New) Gluten-Free Breakfast & Brunch
Juniper,"237 W 35th St,",10001,Cocktail Bars American (New)
Haymaker Bar and Kitchen,"252 W 29th St, ,",10001,Gastropubs Beer Bar
Izakaya MEW,"53 W 35th St, Basement,",10001,Sushi Bars Izakaya Cocktail Bars
Rocket Pig,"463 W 24th St, ,",10001,American (New)
Chelsea Station,"290 8th Ave,",10001,Mediterranean American (New) Italian
Ulivo,"4 W 28th St, ,",10001,Italian Cocktail Bars
The Maze,"32 W 32nd St, Fl 3,",10001,Korean Cocktail Bars Mexican
Woorijip Authentic Korean Food,"12 W 32nd St, ,",10001,Korean
Jongro BBQ,"22 W 32nd St, ,",10001,Korean Barbeque Beer Bar
Five Senses,"9 W 32nd St, ,",10001,Korean Barbeque
Black Iron Burger,"333 7th Ave,",10001,Burgers
Riko Peruvian Cuisine,"409 8th Ave, ,",10001,Peruvian Latin American Seafood
Till & Sprocket,"140 W 30th St, ,",10001,American (New) Cafes Bars
Kobeyaki,"293 7th Ave, ,",10001,Japanese Sushi Bars Burgers
Dadam,"11 West 32nd St, Fl 2,",10001,Korean Food Court
Jun-Men Ramen Bar,"249 9th Ave,",10001,Ramen
OCabanon,"245 W 29th St,",10001,French Wine Bars Tapas Bars
ilili,"236 5th Ave, ,",10001,Mediterranean Lebanese
Smithfield,"138 W 25th St, ,",10001,Pubs American (Traditional) Sports Bars
Abiko Curry,"2 W 32nd St,",10001,Japanese
Petit Poulet,"52 W 33rd St, ,",10001,French Wine Bars
Muk Eun Ji,"34 W 32nd St, Fl 1,",10001,Korean Barbeque
Turntable Chicken Jazz,"314 5th Ave, 2nd Fl,",10001,Chicken Wings Lounges American (New)
Citizens of Chelsea,"401 W 25th St,",10001,Coffee & Tea Breakfast & Brunch
Porteno Restaurant,"299 10th Ave, ,",10001,Argentine
Blu Restaurant,"Hotel Indigo, 127 W 28th St,",10001,American (New) Italian
Lemony,"224 W 35th St, ,",10001,Greek Salad Desserts
CajunSea & Oyster Bar,"32 W 33rd St,",10001,Cajun/Creole Seafood Breakfast & Brunch
Asura Asian Bistro,"235 W 35th St, ,",10001,Chinese Asian Fusion Bars
Osamil,"5 West 31st St,",10001,Korean Gastropubs Cocktail Bars
Stella 34 Trattoria,"Macy's 6th Floor - 35th Broadway Entrance, 151 W 34th St,",10001,Italian Pizza Cocktail Bars
Death Ave,"315 10th Ave, ,",10001,Greek American (New) Beer Gardens
Best Bagel and Coffee,"225 W 35th St, ,",10001,Bagels Coffee & Tea Breakfast & Brunch
BCD Tofu House,"5W 32nd St, ,",10001,Korean
Sweet Churros With Coffeed,"Food Gallery 32, 11 W 32nd St,",10001,Coffee & Tea Desserts Sandwiches
Gallow Green,"542 W 27th St, ,",10001,Cocktail Bars American (New)
Pepe Giallo,"253 10th Ave,",10001,Italian
American Beauty,"251 W 30th St, ,",10001,Bars Music Venues Pizza
The NoMad Restaurant,"1170 Broadway, ,",10001,French American (New) Gastropubs
Zhà Pan Asian,"33RD St And Broadway, ,",10001,Pan Asian
Deweys Pub,"135 W 30th St, ,",10001,Gastropubs
Ovest Pizzoteca,"513 W 27th St, ,",10001,Pizza Italian Cocktail Bars
L & W Oyster Co.,"254 5th Ave, ,",10001,Seafood
Mulberry & Vine,"55 W 27th St, ,",10001,American (New)
PN Wood Fired Pizza,"2 W 28th St, ,",10001,Pizza
Hee Korean BBQ Grill,"793 6th Ave,",10001,Korean Barbeque
Alpha Fusion,"365 W 34th St, ,",10001,Asian Fusion
L'Amico NYC,"Eventi Hotel, 851 6th Ave,",10001,Italian
Mamma Guidara's,"10 W 28th St,",10001,Italian
Kobeque,"11 W 32nd St, ,",10001,Korean Barbeque
Cafe Hanamizuki,"143 W 29th St, ,",10001,Cafes
NY Pizza Suprema,"413 8th Ave, ,",10001,Pizza
Hudson Food Market NYC,"312 11th Ave,",10001,American (New) Delis Breakfast & Brunch
Milanes Spanish Restaurant,"168 W 25th St, ,",10001,Spanish Breakfast & Brunch Sandwiches
The Heath,"542 W 27th St, ,",10001,Bars Music Venues Modern European
Patiala Indian Food,"371 W 34th St, ,",10001,Indian
E-Mo,"2 W 32nd St, ,",10001,Korean
Waldy's Wood Fired Pizza & Penne,"800 6th Ave,",10001,Pizza
Between the Bread Eatery - Chelsea,"609 W 27th St,",10001,Salad Cafes
B&B Restaurant Corp,"165 W 26th St, ,",10001,African
Seoul Garden,"34 W 32nd St, 2nd Fl,",10001,Korean
Takumi Taco,"601 W 26th St, 17th Fl,",10001,Mexican Seafood Asian Fusion
Space Nabi,"276 5th Ave,",10001,Gastropubs Korean Coffee & Tea
My Belly's Playlist,"218 West 35th St,",10001,Sandwiches American (New) Fast Food
Sharaku,"288 8th Ave, ,",10001,Sushi Bars
Johny's Luncheonette,"124 W 25th St, ,",10001,American (Traditional) Diners Breakfast & Brunch
A Little Taste,"148 W 28th St, ,",10001,Cafes
Biricchino,"260 W 29th St, ,",10001,Italian
Luna 29 Cafe,"121 W 29th,",10001,Cafes
Dig Inn,"1178 Broadway,",10001,American (Traditional)
Kaptan's Deck,"337 W 30th St, ,",10001,Bars Barbeque
Ayza Wine & Chocolate Bar,"11 W 31st St, ,",10001,Wine Bars Desserts Mediterranean
Impero Caffè,"132 W 27th St, ,",10001,Italian
Gigi Cafe,"307 7th Ave, ,",10001,Desserts Breakfast & Brunch American (Traditional)
Pocha 32,"15 W 32nd St, 2nd Fl,",10001,Bars Korean
Chickpea,"Penn Station  Amtrak Concourse, 234 W 31st St,",10001,Middle Eastern
