id,name,zip_code,phone,address
1,Barn Joo 35,10001,2125644430,"34 W 35th St, ,"
2,Friedman's,10001,2129719400,"132 W 31st St, ,"
3,Juniper,10001,2129672511,"237 W 35th St,"
4,Haymaker Bar and Kitchen,10001,6464298237,"252 W 29th St, ,"
5,Izakaya MEW,10001,6463689384,"53 W 35th St, Basement,"
6,Rocket Pig,10001,2126455660,"463 W 24th St, ,"
7,Chelsea Station,10001,6466570165,"290 8th Ave,"
8,Ulivo,10001,2126848000,"4 W 28th St, ,"
9,The Maze,10001,6463778752,"32 W 32nd St, Fl 3,"
10,Woorijip Authentic Korean Food,10001,2122441115,"12 W 32nd St, ,"
11,Jongro BBQ,10001,2124732233,"22 W 32nd St, ,"
12,Five Senses,10001,2124410005,"9 W 32nd St, ,"
13,Black Iron Burger,10001,6466660071,"333 7th Ave,"
14,Riko Peruvian Cuisine,10001,2126437556,"409 8th Ave, ,"
15,Till & Sprocket,10001,2122390570,"140 W 30th St, ,"
16,Kobeyaki,10001,2122425500,"293 7th Ave, ,"
17,Dadam,10001,9173759226,"11 West 32nd St, Fl 2,"
18,Jun-Men Ramen Bar,10001,6468526787,"249 9th Ave,"
19,OCabanon,10001,6466697879,"245 W 29th St,"
20,ilili,10001,2126832929,"236 5th Ave, ,"
21,Smithfield,10001,2129299677,"138 W 25th St, ,"
22,Abiko Curry,10001,2126950888,"2 W 32nd St,"
23,Petit Poulet,10001,2122440440,"52 W 33rd St, ,"
24,Muk Eun Ji,10001,2127360099,"34 W 32nd St, Fl 1,"
25,Turntable Chicken Jazz,10001,2127149700,"314 5th Ave, 2nd Fl,"
26,Citizens of Chelsea,10001,6466493079,"401 W 25th St,"
27,Porteno Restaurant,10001,2126959694,"299 10th Ave, ,"
28,Blu Restaurant,10001,6464844330,"Hotel Indigo, 127 W 28th St,"
29,Lemony,10001,2126958300,"224 W 35th St, ,"
30,CajunSea & Oyster Bar,10001,2125647333,"32 W 33rd St,"
31,Asura Asian Bistro,10001,2126299888,"235 W 35th St, ,"
32,Osamil,10001,2123004713,"5 West 31st St,"
33,Stella 34 Trattoria,10001,2129679251,"Macy's 6th Floor - 35th Broadway Entrance, 151 W 34th St,"
34,Death Ave,10001,2126958080,"315 10th Ave, ,"
35,Best Bagel and Coffee,10001,2125644409,"225 W 35th St, ,"
36,BCD Tofu House,10001,2129671900,"5W 32nd St, ,"
37,Sweet Churros With Coffeed,10001,9178471878,"Food Gallery 32, 11 W 32nd St,"
38,Gallow Green,10001,2125641662,"542 W 27th St, ,"
39,Pepe Giallo,10001,2122426055,"253 10th Ave,"
40,American Beauty,10001,2126958970,"251 W 30th St, ,"
41,The NoMad Restaurant,10001,3474725660,"1170 Broadway, ,"
43,Deweys Pub,10001,2126857781,"135 W 30th St, ,"
44,Ovest Pizzoteca,10001,2129674392,"513 W 27th St, ,"
45,L & W Oyster Co.,10001,2122037772,"254 5th Ave, ,"
46,Mulberry & Vine,10001,2122528468,"55 W 27th St, ,"
47,PN Wood Fired Pizza,10001,6469644834,"2 W 28th St, ,"
48,Hee Korean BBQ Grill,10001,2122061224,"793 6th Ave,"
49,Alpha Fusion,10001,2122798887,"365 W 34th St, ,"
50,L'Amico NYC,10001,2122014065,"Eventi Hotel, 851 6th Ave,"
51,Mamma Guidara's,10001,3474725688,"10 W 28th St,"
52,Kobeque,10001,3479228819,"11 W 32nd St, ,"
53,Cafe Hanamizuki,10001,2126955533,"143 W 29th St, ,"
54,NY Pizza Suprema,10001,2125948939,"413 8th Ave, ,"
55,Hudson Food Market NYC,10001,2129679077,"312 11th Ave,"
56,Milanes Spanish Restaurant,10001,2122439797,"168 W 25th St, ,"
57,The Heath,10001,2125641662,"542 W 27th St, ,"
58,Patiala Indian Food,10001,2125648255,"371 W 34th St, ,"
59,E-Mo,10001,2125941466,"2 W 32nd St, ,"
60,Waldy's Wood Fired Pizza & Penne,10001,2122135042,"800 6th Ave,"
61,Between the Bread Eatery - Chelsea,10001,2127651687,"609 W 27th St,"
62,B&B Restaurant Corp,10001,6464298174,"165 W 26th St, ,"
63,Seoul Garden,10001,2127369002,"34 W 32nd St, 2nd Fl,"
64,Takumi Taco,10001,9177104757,"601 W 26th St, 17th Fl,"
65,Space Nabi,10001,2126852727,"276 5th Ave,"
66,My Belly's Playlist,10001,9178321209,"218 West 35th St,"
67,Sharaku,10001,2126278391,"288 8th Ave, ,"
68,Johny's Luncheonette,10001,2122436230,"124 W 25th St, ,"
69,A Little Taste,10001,2124311000,"148 W 28th St, ,"
70,Biricchino,10001,2126956690,"260 W 29th St, ,"
71,Luna 29 Cafe,10001,6465906977,"121 W 29th,"
72,Dig Inn,10001,2123352010,"1178 Broadway,"
74,Ayza Wine & Chocolate Bar,10001,2127142992,"11 W 31st St, ,"
75,Impero Caffè,10001,9174095171,"132 W 27th St, ,"
76,Gigi Cafe,10001,2128078500,"307 7th Ave, ,"
77,Pocha 32,10001,2122791876,"15 W 32nd St, 2nd Fl,"
78,Chickpea,10001,2122440101,"Penn Station  Amtrak Concourse, 234 W 31st St,"
79,Costas - South American Arepas,10001,6465643545,"30 W 35th St,"
80,Fork & Spoon,10001,2122443203,"7 W 36th St, ,"
81,Sid Gold's Request Room,10001,2122291948,"165 W 26th St, ,"
82,Paik's Noodle,10001,2126957272,"2 W 32nd St, Fl 2"
83,Maggie Reillys Restaurant,10001,6464763209,"340 9th Ave, ,"
84,The NoMad Bar,10001,2127961500,"10 W 28th St, , The NoMad Hotel"
85,Gaonnuri,10001,2129719045,"1250 Broadway, 39th Fl,"
86,miss KOREA BBQ,10001,2127363232,"10 W 32nd St, 1st, 2nd & 3rd Fl,"
87,New Wonjo Restaurant,10001,2126955815,"23 W 32nd St, ,"
88,Juicology,10001,2126950628,"387 8th Ave, ,"
89,TEISUI,10001,9173883596,"246 5th Ave,"
90,Shanghai Mong,10001,2126296450,"30 W 32nd St,"
91,Gammeeok,10001,2128681180,"9 W 32nd St, 2nd Fl,"
92,Grand Sichuan,10001,2126205200,"229 9th Ave, ,"
93,American Whiskey,10001,2129671070,"247 W 30th St, ,"
94,Trattoria Bianca,10001,2122688460,"481 8th Ave, ,"
95,Trattoria Bianca,10001,2122688460,"481 8th Ave, ,"
96,A&H Deli,10001,2125636200,"431 7th Ave, ,"
97,Hyo Dong Gak,10001,2126957167,"51 W 35th St, ,"
98,Foley's NY,10001,2122900080,"18 W 33rd St, ,"
99,Hoa Kitchen,10001,2126431588,"370 8th Ave, ,"
100,The Vine - Eventi Hotel,10001,2122014065,"851 Avenue Of The Americas, ,"
101,Nick & Stef's Steakhouse,10001,2125634444,"9 Penn Plz,"
102,Rock & Reilly's NYC,10001,6468502850,"218 W 35th St, ,"
103,NY Study Room,10001,6464499255,"312 5th Ave, Fl 5,"
104,Cavallo's Pizzeria,10001,2122442012,"324 7th Ave, ,"
105,Brooklyn Bagel & Coffee Company,10001,2129242824,"286 8th Ave, ,"
106,The Kunjip,10001,2125648238,"32 W 32nd St, ,"
108,Sullivan Street Bakery,10001,2129295900,"236 9th Ave, ,"
109,Sushi Fussion NYC,10001,6464765246,"224 W 35th St, ,"
110,Trestle On Tenth,10001,2126455659,"242 10th Ave, ,"
111,Cafe Rustico II,10001,2127361114,"25 W 35th St, ,"
112,Highline Pizza,10001,2125643330,"503 W 28th St,"
113,Vin Sur Vingt,10001,6469227700,"1140 Broadway,"
114,The Breslin Bar & Dining Room,10001,2126791939,"16 W 29th St, ,"
115,Lupulo,10001,2122907600,"835 6th Ave, ,"
116,The Liberty,10001,2129674000,"29 W 35th St, ,"
117,Cavallo Pizzeria,10001,2122560212,"334 8th Ave,"
118,Arome Deli & Pizzeria,10001,2122957870,"138 W 32nd St, ,"
119,Prime Cafe,10001,7185135112,"125 W 26th St, ,"
