name,address,zipcode,cuisine,violation_code,critical_flag,grade
bua,126 st marks place,10009,american,04L,Critical,Z
wu liang ye restaurant,36 west   48 street,10036,chinese,04A,Critical,Z
mekelburg's,293 grand ave,11238,american,02B,Critical,A
jj garden restaurant,7521 31 avenue,11370,chinese,10B,Not Critical,A
expresso cafe & coffee house,8260 austin st,11415,jewish/kosher,04A,Critical,Z
kew garden chinese restaurant,11814 queens boulevard,11375,chinese,08A,Not Critical,Z
o'hanlon's bar,118-12 queens boulevard,11375,american,10F,Not Critical,A
papa johns pizza/cafe rockaways chicken things,4901 beach channel dr,11691,pizza,04A,Critical,Z
rythym & booze,1674 10 avenue,11215,american,06D,Critical,A
zz's pizza & grill,1 richmond terrace,10301,pizza,04A,Critical,Z
la vela dining and bar,558 11th ave,10036,italian,06D,Critical,Z
basera restaurant,7414 37th rd,11372,pakistani,10F,Not Critical,A
ramen yebisu/baoburg,126 north    6 street,11249,japanese,10B,Not Critical,A
sigmund's,230 park ave,10169,german,02G,Critical,A
lucky family chinese cuisine,13525 40th rd,11354,chinese,09C,Not Critical,Z
hale & hearty soup,32 court street,11201,soups & sandwiches,10F,Not Critical,A
liliana's,774 saint johns pl,11216,american,06C,Critical,A
mahal kita,184 havemeyer st,11211,indian,10B,Not Critical,A
cantina royal,58 north    3 street,11249,mexican,04A,Critical,Z
mr. falafel restaurant,226 7 avenue,11215,egyptian,02G,Critical,A
george's pizza,726 w 181st st,10033,pizza/italian,04L,Critical,Z
la nueva colombia bakery,9107 31st ave,11369,"latin (cuban, dominican, puerto rican, south & central american)",10F,Not Critical,Z
the beer garden,1883 victory boulevard,10314,american,06D,Critical,A
dig inn,17 east 17th street,10003,american,02C,Critical,Z
vetro,16449 cross bay boulevard,11414,american,06D,Critical,A
pioneer restaurant,223 west  231 street,10463,chinese,06D,Critical,A
annadale terrace,801 annadale rd,10312,american,02B,Critical,Z
matamim take out catering,4302 16 avenue,11204,jewish/kosher,10F,Not Critical,A
jr restaurant at jamaicia,13675 roosevelt avenue,11354,chinese,02B,Critical,A
cafe 31,220 west   31 street,10001,american,10F,Not Critical,A
teddy's cafe,805 zerega avenue,10473,american,04L,Critical,A
chef 28 lounge,28 henry st,10002,chinese,10F,Not Critical,Z
dunkin' donuts,3732 east tremont avenue,10465,café/coffee/tea,04L,Critical,A
k's cafeteria,4803 108 street,11368,"latin (cuban, dominican, puerto rican, south & central american)",06C,Critical,A
"friend's fried chicken, burgers, y pizaa",948-950 anderson ave,10452,american,06B,Critical,A
veggies,994 nostrand ave,11225,"juice, smoothies, fruit salads",10F,Not Critical,A
midnight express,1715 2 avenue,10128,american,10F,Not Critical,A
the brooklyn star,593 lorimer street,11211,american,10B,Not Critical,A
ruddy and dean,44 richmond terrace,10301,american,10B,Not Critical,Z
bareburger,170 7 avenue,11215,american,06C,Critical,A
numero 28 pizza,137 7 avenue,11215,pizza/italian,10F,Not Critical,A
roma pizza,85 7 avenue,11217,pizza/italian,08A,Not Critical,Z
fort washington bakery and deli,808 west  181 street,10033,delicatessen,06E,Critical,A
jackson bagel,8530 37th ave,11372,bagels/pretzels,04M,Critical,A
olivia's restaurant & lounge,1854 westchester ave,10472,"latin (cuban, dominican, puerto rican, south & central american)",06D,Critical,A
m s han song ting,13620 roosevelt avenue,11354,chinese,10I,Not Critical,A
gun post lanes snack bar,1215 east gun hill road,10469,american,04H,Critical,A
china wok,3839 e tremont ave,10465,chinese,10F,Not Critical,A
b & y catering (jewish community center),1466 manor rd,10314,jewish/kosher,04H,Critical,A
legendary,3513 e tremont ave,10465,american,08A,Not Critical,A
old hong kong restaurant,539a e tremont ave,10457,chinese,10B,Not Critical,A
pop's gourmet deli,1757 arthur kill rd,10312,delicatessen,06A,Critical,A
mr. bruno's pizza,7563 31 avenue,11370,pizza/italian,02B,Critical,Z
sun house cafe,4017 7th ave,11232,american,10F,Not Critical,A
konditori,240 7 avenue,11215,café/coffee/tea,02B,Critical,A
a & s pizzeria,87 stuyvesant place,10301,pizza/italian,02G,Critical,A
tomo japanese restaurant,4561 amboy road,10312,japanese,10F,Not Critical,A
new wonjo restaurant,23 west   32 street,10001,korean,10B,Not Critical,A
spicy bampa,6920 18 avenue,11204,chinese,06D,Critical,A
rice thai kitchen,311 7th ave,11215,thai,06D,Critical,Z
la amistad bakery and restaurant,16204 northern blvd,11358,spanish,06C,Critical,Z
bar association of the city of ny kitchen,42 west   44 street,10036,american,10B,Not Critical,A
ms caridad restaurant,831 rosedale ave,10473,spanish,02B,Critical,Z
no.1 kitchen,770 washington ave,11238,chinese,06C,Critical,A
forest bbq,1098 forest ave,10310,portuguese,10F,Not Critical,A
wasabi sushi,2375 86 street,11214,japanese,06D,Critical,A
legend's pub,1975 victory boulevard,10314,american,06D,Critical,A
lorenas fruit,5020 108 street,11368,"juice, smoothies, fruit salads",10F,Not Critical,A
baby's grill and restaurant,6828 roosevelt ave,11377,filipino,10J,Not Critical,A
little italy pizza,696 9th ave,10036,pizza,06D,Critical,A
rain ii,1095 saint nicholas ave,10032,thai,02B,Critical,A
mr. wonton,2604 jackson avenue,11101,chinese,02G,Critical,A
ariyoshi japanese restaurant,4113 queens boulevard,11104,japanese,08A,Not Critical,Z
joe coffee/kiosk,44 grand central terminal,10017,café/coffee/tea,02G,Critical,A
vinicio's restaurant,4021 108th st,11368,spanish,05D,Critical,Z
section 5 pizza,133 einstein loop,10475,american,10F,Not Critical,Z
el dorado restaurant,2236 hylan blvd,10306,spanish,10F,Not Critical,A
sarabeth's,40 central park south,10019,american,10F,Not Critical,A
bricco restaurant,304 west   56 street,10019,italian,04H,Critical,A
bukhara grill,217 east   49 street,10017,indian,10H,Not Critical,A
calexico,1491 2nd ave,10075,mexican,02G,Critical,Z
the burger garage,2536 jackson avenue,11101,hamburgers,10E,Not Critical,A
pretzel twister,5458 myrtle ave,11385,"juice, smoothies, fruit salads",10F,Not Critical,A
victor bar and restaurant,6701 forest ave,11385,eastern european,10F,Not Critical,A
the lowery bar & kitchen,4302 43rd ave,11104,american,06E,Critical,A
how greek it is,2224 hylan blvd,10306,greek,06A,Critical,A
death & co,433 east    6 street,10009,american,04H,Critical,Z
espresso matto,2 w 46th st,10036,café/coffee/tea,06C,Critical,Z
meerac,15702 northern blvd,11354,japanese,08A,Not Critical,A
casa colombia,8623 roosevelt ave,11372,spanish,09C,Not Critical,A
majlis lounge & cafe,24805 union turnpike,11426,indian,10F,Not Critical,Z
new saigon,5906 8th ave,11220,vietnamese/cambodian/malaysia,02G,Critical,A
mcondo 502,502 grand st,11211,mexican,10B,Not Critical,A
new szechuan house,5008 skillman ave,11377,chinese,06C,Critical,Z
zen fusion cuisine,7928 parsons boulevard,11366,asian,04H,Critical,A
steinway billiard,3525 steinway street,11101,american,06E,Critical,A
sum fung chinese restaurant,5401 northern boulevard,11377,chinese,06C,Critical,A
mcbeans restaurant,1501 flatbush ave,11210,caribbean,10F,Not Critical,A
ocd cafe,1196 avenue of the americas,10036,café/coffee/tea,03A,Critical,A
victorias pizza,2716 gerritsen ave,11229,pizza/italian,10B,Not Critical,A
ming garden chinese,7068 kissena blvd,11367,chinese,08A,Not Critical,A
tastee pattee,1371 fulton street,11216,caribbean,06F,Critical,Z
good taste restaurant,3801 29 street,11101,chinese,10F,Not Critical,A
chicken shack,3619 broadway,11106,chicken,08C,Not Critical,A
subway,4024 college point boulevard,11354,sandwiches/salads/mixed buffet,10B,Not Critical,A
