_id,ltable_ID,rtable_ID,custom_address_sim,custom_name_jaccard,custom_address_overlap,custom_name_cosine,custom_address_cosine,custom_cuisine_overlap,rtable_grade,rtable_critical_flag,rtable_violation_code,rtable_cuisine,rtable_zipcode,rtable_address,rtable_name,ltable_price,ltable_cuisine,ltable_zipcode,ltable_address,ltable_name,predicted
759,1,19848,1.0,0.0,1.0,0.0,1.0,0.0,A,Critical,04L,thai,10001,132 w 31st st,dee daa,$$,american (new) gluten-free breakfast & brunch,10001,"132 w 31st st, ,",friedman's,0
1041,2,14586,1.0,1.0,1.0,1.0,1.0,1.0,A,Critical,06C,american,10001,237 w 35th st,juniper,$$,cocktail bars american (new),10001,"237 w 35th st,",juniper,1
1643,4,4945,0.75,0.5,1.0,0.7071067811865475,0.8944271909999159,0.0,B,Critical,06C,japanese,10001,53 w 35th st,mew,$$,sushi bars izakaya cocktail bars,10001,"53 w 35th st, basement,",izakaya mew,1
3080,8,647,0.75,0.3333333333333333,1.0,0.4999999999999999,0.8164965809277261,1.0,Z,Critical,02B,korean,10001,32 w 32nd st,the kunjip,$$,korean cocktail bars mexican,10001,"32 w 32nd st, fl 3,",the maze,1
3178,8,4995,0.75,1.0,1.0,1.0,0.8164965809277261,1.0,A,Critical,06C,korean,10001,32 w 32nd st,the maze,$$,korean cocktail bars mexican,10001,"32 w 32nd st, fl 3,",the maze,1
3675,9,12214,1.0,0.0,1.0,0.0,1.0,0.0,A,Not Critical,10I,café/coffee/tea,10001,12 w 32nd st,gong cha,$,korean,10001,"12 w 32nd st, ,",woorijip authentic korean food,0
3960,10,6195,1.0,1.0,1.0,1.0,1.0,1.0,B,Critical,06B,korean,10001,22 w 32nd st,jongro bbq,$$,korean barbeque beer bar,10001,"22 w 32nd st, ,",jongro bbq,1
4251,11,1588,1.0,0.5,1.0,0.7071067811865475,1.0,1.0,A,Not Critical,10F,korean,10001,9 w 32nd st,5 senses,$$,korean barbeque,10001,"9 w 32nd st, ,",five senses,1
5429,14,2712,1.0,1.0,1.0,1.0,1.0,1.0,A,Critical,04L,american,10001,140 w 30th st,till & sprocket,$$,american (new) cafes bars,10001,"140 w 30th st, ,",till & sprocket,1
6974,18,3747,1.0,1.0,1.0,1.0,1.0,1.0,B,Not Critical,08A,french,10001,245 w 29th st,ocabanon,$$,french wine bars tapas bars,10001,"245 w 29th st,",ocabanon,1
7857,20,10974,1.0,0.5,1.0,0.7071067811865475,1.0,1.0,A,Critical,02H,american,10001,138 w 25th st,smithfield hall,$$,pubs american (traditional) sports bars,10001,"138 w 25th st, ,",smithfield,1
8055,21,510,1.0,0.0,1.0,0.0,1.0,0.0,Z,Not Critical,08C,american,10001,2 w 32nd st,krush,$$,japanese,10001,"2 w 32nd st,",abiko curry,0
8060,21,656,1.0,0.0,1.0,0.0,1.0,0.0,Z,Critical,06E,korean,10001,2 w 32nd st,ddm yupdduk,$$,japanese,10001,"2 w 32nd st,",abiko curry,0
8228,21,10293,1.0,0.0,1.0,0.0,1.0,0.0,A,Critical,06E,korean,10001,2 w 32nd st,paik's noodle,$$,japanese,10001,"2 w 32nd st,",abiko curry,0
8346,21,15956,1.0,0.0,1.0,0.0,1.0,0.0,A,Critical,02G,korean,10001,2 w 32nd st,mandoo bar,$$,japanese,10001,"2 w 32nd st,",abiko curry,0
8869,23,2631,0.5,0.0,1.0,0.0,0.8164965809277261,1.0,A,Critical,06C,korean,10001,34 w 32nd st,turntable lp bar,$$,korean barbeque,10001,"34 w 32nd st, fl 1,",muk eun ji,0
9059,23,13468,0.5,0.0,1.0,0.0,0.8164965809277261,1.0,A,Critical,04A,korean,10001,34 w 32nd st,space billard,$$,korean barbeque,10001,"34 w 32nd st, fl 1,",muk eun ji,0
10628,27,14973,0.6,0.0,1.0,0.0,0.8164965809277261,1.0,A,Not Critical,10F,american,10001,127 w 28th st,stix chelsea/hotel indigo/rooftop bar,$$$,american (new) italian,10001,"hotel indigo, 127 w 28th st,",blu restaurant,0
10746,28,758,1.0,0.0,1.0,0.0,1.0,0.0,A,Critical,06D,other,10001,224 w 35th st,2 brothers pizza,$$,greek salad desserts,10001,"224 w 35th st, ,",lemony,0
10920,28,10967,1.0,0.0,1.0,0.0,1.0,0.0,A,Not Critical,08A,jewish/kosher,10001,224 w 35th st,sushi fussion,$$,greek salad desserts,10001,"224 w 35th st, ,",lemony,0
10983,28,13767,1.0,0.5,1.0,0.7071067811865475,1.0,1.0,A,Critical,04A,greek,10001,224 w 35th st,lemony grill,$$,greek salad desserts,10001,"224 w 35th st, ,",lemony,1
12277,32,700,0.1875,0.0,1.0,0.0,0.6030226891555273,1.0,A,Critical,04L,pizza,10001,151 w 34th st,pizza bar,$$,italian pizza cocktail bars,10001,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",stella 34 trattoria,0
12550,32,15178,0.1875,0.0,1.0,0.0,0.6030226891555273,0.0,A,Not Critical,09C,salads,10001,151 w 34th st,just salad,$$,italian pizza cocktail bars,10001,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",stella 34 trattoria,0
13804,36,647,0.39999999999999997,0.0,1.0,0.0,0.7559289460184544,0.0,Z,Critical,02B,korean,10001,32 w 32nd st,the kunjip,$,coffee & tea desserts sandwiches,10001,"food gallery 32, 11 w 32nd st,",sweet churros with coffeed,0
13902,36,4995,0.39999999999999997,0.0,1.0,0.0,0.7559289460184544,0.0,A,Critical,06C,korean,10001,32 w 32nd st,the maze,$,coffee & tea desserts sandwiches,10001,"food gallery 32, 11 w 32nd st,",sweet churros with coffeed,0
13946,36,8643,0.6,0.0,1.0,0.0,0.7559289460184544,0.0,B,Critical,06E,korean,10001,11 w 32nd st,food gallery 32,$,coffee & tea desserts sandwiches,10001,"food gallery 32, 11 w 32nd st,",sweet churros with coffeed,0
14074,36,14964,0.6,0.0,1.0,0.0,0.7559289460184544,0.0,B,Critical,04H,korean,10001,11 w 32nd st,maru,$,coffee & tea desserts sandwiches,10001,"food gallery 32, 11 w 32nd st,",sweet churros with coffeed,0
14960,39,826,1.0,0.0,1.0,0.0,1.0,0.0,Z,Critical,06D,american,10001,251 w 30th st,slake,$$,bars music venues pizza,10001,"251 w 30th st, ,",american beauty,0
16155,42,2809,1.0,0.25,1.0,0.40824829046386296,1.0,0.0,A,Not Critical,10F,american,10001,135 w 30th st,dewey's pub,$$,gastropubs,10001,"135 w 30th st, ,",deweys pub,1
19691,51,8643,1.0,0.0,1.0,0.0,1.0,1.0,B,Critical,06E,korean,10001,11 w 32nd st,food gallery 32,$$,korean barbeque,10001,"11 w 32nd st, ,",kobeque,0
19819,51,14964,1.0,0.0,1.0,0.0,1.0,1.0,B,Critical,04H,korean,10001,11 w 32nd st,maru,$$,korean barbeque,10001,"11 w 32nd st, ,",kobeque,0
20138,52,12006,1.0,1.0,1.0,0.9999999999999998,1.0,0.0,A,Not Critical,10F,japanese,10001,143 w 29th st,hanamizuki cafe,$$,cafes,10001,"143 w 29th st, ,",cafe hanamizuki,1
22226,58,510,1.0,0.0,1.0,0.0,1.0,0.0,Z,Not Critical,08C,american,10001,2 w 32nd st,krush,$,korean,10001,"2 w 32nd st, ,",e-mo,0
22231,58,656,1.0,0.0,1.0,0.0,1.0,1.0,Z,Critical,06E,korean,10001,2 w 32nd st,ddm yupdduk,$,korean,10001,"2 w 32nd st, ,",e-mo,0
22399,58,10293,1.0,0.0,1.0,0.0,1.0,1.0,A,Critical,06E,korean,10001,2 w 32nd st,paik's noodle,$,korean,10001,"2 w 32nd st, ,",e-mo,0
22517,58,15956,1.0,0.0,1.0,0.0,1.0,1.0,A,Critical,02G,korean,10001,2 w 32nd st,mandoo bar,$,korean,10001,"2 w 32nd st, ,",e-mo,0
23529,61,8787,1.0,0.0,1.0,0.0,1.0,0.0,A,Critical,06D,american,10001,165 w 26th st,sid gold's request room,$,african,10001,"165 w 26th st, ,",b&b restaurant corp,0
23806,62,2631,0.75,0.0,1.0,0.0,0.8164965809277261,1.0,A,Critical,06C,korean,10001,34 w 32nd st,turntable lp bar,$$,korean,10001,"34 w 32nd st, 2nd fl,",seoul garden,0
23996,62,13468,0.75,0.0,1.0,0.0,0.8164965809277261,1.0,A,Critical,04A,korean,10001,34 w 32nd st,space billard,$$,korean,10001,"34 w 32nd st, 2nd fl,",seoul garden,0
25454,66,9798,1.0,0.0,1.0,0.0,1.0,0.0,A,Not Critical,10B,café/coffee/tea,10001,124 w 25th st,perpetuum cafe,$,american (traditional) diners breakfast & brunch,10001,"124 w 25th st, ,",johny's luncheonette,0
25867,67,11510,1.0,0.75,1.0,0.8660254037844387,1.0,0.0,A,Critical,02G,american,10001,148 w 28th st,alt - a little taste,$,cafes,10001,"148 w 28th st, ,",a little taste,1
28140,73,10097,1.0,0.3333333333333333,1.0,0.4999999999999999,1.0,1.0,A,Critical,06F,italian,10001,132 w 27th st,impero cafe,$$$,italian,10001,"132 w 27th st, ,",impero caffè,1
29848,77,18787,1.0,0.25,1.0,0.5,1.0,1.0,A,Not Critical,09C,"latin (cuban, dominican, puerto rican, south & central american)",10001,30 w 35th st,costas,$,latin american,10001,"30 w 35th st,",costas - south american arepas,1
