name,address,zipcode,cuisine,price,rating,review_count
barn joo 35,"34 w 35th st, ,",10001,korean gastropubs tapas/small plates,$$,4.5,343
friedman's,"132 w 31st st, ,",10001,american (new) gluten-free breakfast & brunch,$$,4.0,1196
juniper,"237 w 35th st,",10001,cocktail bars american (new),$$,4.0,180
haymaker bar and kitchen,"252 w 29th st, ,",10001,gastropubs beer bar,$$,4.0,140
izakaya mew,"53 w 35th st, basement,",10001,sushi bars izakaya cocktail bars,$$,4.0,1232
rocket pig,"463 w 24th st, ,",10001,american (new),$$,4.5,134
chelsea station,"290 8th ave,",10001,mediterranean american (new) italian,$$,4.0,25
ulivo,"4 w 28th st, ,",10001,italian cocktail bars,$$,4.0,92
the maze,"32 w 32nd st, fl 3,",10001,korean cocktail bars mexican,$$,4.0,86
woorijip authentic korean food,"12 w 32nd st, ,",10001,korean,$,4.0,2105
jongro bbq,"22 w 32nd st, ,",10001,korean barbeque beer bar,$$,4.0,672
five senses,"9 w 32nd st, ,",10001,korean barbeque,$$,4.0,555
black iron burger,"333 7th ave,",10001,burgers,$$,4.0,177
riko peruvian cuisine,"409 8th ave, ,",10001,peruvian latin american seafood,$$,4.0,357
till & sprocket,"140 w 30th st, ,",10001,american (new) cafes bars,$$,4.0,54
kobeyaki,"293 7th ave, ,",10001,japanese sushi bars burgers,$$,4.0,405
dadam,"11 west 32nd st, fl 2,",10001,korean food court,$$,4.5,135
jun-men ramen bar,"249 9th ave,",10001,ramen,$$,4.0,346
ocabanon,"245 w 29th st,",10001,french wine bars tapas bars,$$,4.0,281
ilili,"236 5th ave, ,",10001,mediterranean lebanese,$$$,4.0,1817
smithfield,"138 w 25th st, ,",10001,pubs american (traditional) sports bars,$$,4.0,341
abiko curry,"2 w 32nd st,",10001,japanese,$$,4.0,107
petit poulet,"52 w 33rd st, ,",10001,french wine bars,$$,4.0,238
muk eun ji,"34 w 32nd st, fl 1,",10001,korean barbeque,$$,3.5,321
turntable chicken jazz,"314 5th ave, 2nd fl,",10001,chicken wings lounges american (new),$$,4.0,1333
citizens of chelsea,"401 w 25th st,",10001,coffee & tea breakfast & brunch,$$,4.5,57
porteno restaurant,"299 10th ave, ,",10001,argentine,$$$,4.5,279
blu restaurant,"hotel indigo, 127 w 28th st,",10001,american (new) italian,$$$,3.0,54
lemony,"224 w 35th st, ,",10001,greek salad desserts,$$,4.0,55
cajunsea & oyster bar,"32 w 33rd st,",10001,cajun/creole seafood breakfast & brunch,$$,4.0,543
asura asian bistro,"235 w 35th st, ,",10001,chinese asian fusion bars,$$,4.0,212
osamil,"5 west 31st st,",10001,korean gastropubs cocktail bars,$$,4.0,43
stella 34 trattoria,"macy's 6th floor - 35th broadway entrance, 151 w 34th st,",10001,italian pizza cocktail bars,$$,3.5,453
death ave,"315 10th ave, ,",10001,greek american (new) beer gardens,$$,4.0,178
best bagel and coffee,"225 w 35th st, ,",10001,bagels coffee & tea breakfast & brunch,$,4.5,1339
bcd tofu house,"5w 32nd st, ,",10001,korean,$$,4.0,1209
sweet churros with coffeed,"food gallery 32, 11 w 32nd st,",10001,coffee & tea desserts sandwiches,$,4.0,71
gallow green,"542 w 27th st, ,",10001,cocktail bars american (new),$$$,3.5,467
pepe giallo,"253 10th ave,",10001,italian,$$,4.0,432
american beauty,"251 w 30th st, ,",10001,bars music venues pizza,$$,4.0,22
the nomad restaurant,"1170 broadway, ,",10001,french american (new) gastropubs,$$$,4.0,1116
zhà pan asian,"33rd st and broadway, ,",10001,pan asian,$,4.5,18
deweys pub,"135 w 30th st, ,",10001,gastropubs,$$,3.5,88
ovest pizzoteca,"513 w 27th st, ,",10001,pizza italian cocktail bars,$$,4.0,398
l & w oyster co.,"254 5th ave, ,",10001,seafood,$$,4.0,359
mulberry & vine,"55 w 27th st, ,",10001,american (new),$$,4.0,40
pn wood fired pizza,"2 w 28th st, ,",10001,pizza,$$,4.5,89
hee korean bbq grill,"793 6th ave,",10001,korean barbeque,$$,4.0,127
alpha fusion,"365 w 34th st, ,",10001,asian fusion,$$,3.5,352
l'amico nyc,"eventi hotel, 851 6th ave,",10001,italian,$$$,3.5,184
mamma guidara's,"10 w 28th st,",10001,italian,$$$,4.5,3
kobeque,"11 w 32nd st, ,",10001,korean barbeque,$$,4.0,35
cafe hanamizuki,"143 w 29th st, ,",10001,cafes,$$,4.0,317
ny pizza suprema,"413 8th ave, ,",10001,pizza,$,4.0,1151
hudson food market nyc,"312 11th ave,",10001,american (new) delis breakfast & brunch,$$,5.0,2
milanes spanish restaurant,"168 w 25th st, ,",10001,spanish breakfast & brunch sandwiches,$,4.0,96
the heath,"542 w 27th st, ,",10001,bars music venues modern european,$$$,4.0,216
patiala indian food,"371 w 34th st, ,",10001,indian,$,4.0,116
e-mo,"2 w 32nd st, ,",10001,korean,$,4.0,262
waldy's wood fired pizza & penne,"800 6th ave,",10001,pizza,$$,4.0,614
between the bread eatery - chelsea,"609 w 27th st,",10001,salad cafes,$$,4.5,18
b&b restaurant corp,"165 w 26th st, ,",10001,african,$,4.5,87
seoul garden,"34 w 32nd st, 2nd fl,",10001,korean,$$,3.5,599
takumi taco,"601 w 26th st, 17th fl,",10001,mexican seafood asian fusion,$$,4.0,20
space nabi,"276 5th ave,",10001,gastropubs korean coffee & tea,$$,3.5,50
sharaku,"288 8th ave, ,",10001,sushi bars,$,2.0,7
johny's luncheonette,"124 w 25th st, ,",10001,american (traditional) diners breakfast & brunch,$,4.0,649
a little taste,"148 w 28th st, ,",10001,cafes,$,4.5,73
biricchino,"260 w 29th st, ,",10001,italian,$$,3.5,62
luna 29 cafe,"121 w 29th,",10001,cafes,$,4.5,85
dig inn,"1178 broadway,",10001,american (traditional),$$,4.0,238
kaptan's deck,"337 w 30th st, ,",10001,bars barbeque,$$$$,5.0,4
ayza wine & chocolate bar,"11 w 31st st, ,",10001,wine bars desserts mediterranean,$$,4.0,986
impero caffè,"132 w 27th st, ,",10001,italian,$$$,3.5,47
gigi cafe,"307 7th ave, ,",10001,desserts breakfast & brunch american (traditional),$,3.0,80
pocha 32,"15 w 32nd st, 2nd fl,",10001,bars korean,$$,3.5,1076
chickpea,"penn station  amtrak concourse, 234 w 31st st,",10001,middle eastern,$$,3.0,31
costas - south american arepas,"30 w 35th st,",10001,latin american,$,4.0,83
fork & spoon,"7 w 36th st, ,",10001,delis breakfast & brunch sandwiches,$,4.0,125
sid gold's request room,"165 w 26th st, ,",10001,cocktail bars desserts pizza,$$,4.0,57
paik's noodle,"2 w 32nd st, fl 2",10001,korean noodles chinese,$,3.5,71
maggie reillys restaurant,"340 9th ave, ,",10001,pubs american (traditional),$$,4.0,53
the nomad bar,"10 w 28th st, , the nomad hotel",10001,cocktail bars,$$$,4.5,257
gaonnuri,"1250 broadway, 39th fl,",10001,korean cocktail bars,$$$,3.5,532
miss korea bbq,"10 w 32nd st, 1st, 2nd & 3rd fl,",10001,korean barbeque,$$,3.5,1129
new wonjo restaurant,"23 w 32nd st, ,",10001,korean,$$,3.5,919
juicology,"387 8th ave, ,",10001,salad juice bars & smoothies sandwiches,$,4.5,119
teisui,"246 5th ave,",10001,japanese cocktail bars,$$$$,4.5,29
shanghai mong,"30 w 32nd st,",10001,korean chinese asian fusion,$$,3.0,351
gammeeok,"9 w 32nd st, 2nd fl,",10001,korean,$$,3.5,146
grand sichuan,"229 9th ave, ,",10001,chinese,$$,3.5,355
american whiskey,"247 w 30th st, ,",10001,american (new) cocktail bars sports bars,$$,3.5,237
trattoria bianca,"481 8th ave, ,",10001,italian,$$,3.5,55
trattoria bianca,"481 8th ave, ,",10001,italian,$$,3.5,55
a&h deli,"431 7th ave, ,",10001,delis breakfast & brunch asian fusion,$,4.0,18
hyo dong gak,"51 w 35th st, ,",10001,korean chinese,$$,3.5,323
foley's ny,"18 w 33rd st, ,",10001,american (traditional) pubs,$$,4.0,195
hoa kitchen,"370 8th ave, ,",10001,vietnamese chinese asian fusion,$$,2.0,43
the vine - eventi hotel,"851 avenue of the americas, ,",10001,american (new) bars,$$,3.5,58
nick & stef's steakhouse,"9 penn plz,",10001,steakhouses,$$$,3.5,138
rock & reilly's nyc,"218 w 35th st, ,",10001,sports bars american (traditional) burgers,$$,3.5,66
ny study room,"312 5th ave, fl 5,",10001,cafes libraries,$,4.5,18
cavallo's pizzeria,"324 7th ave, ,",10001,pizza,$,2.5,74
brooklyn bagel & coffee company,"286 8th ave, ,",10001,bagels breakfast & brunch cafes,$,4.0,932
the kunjip,"32 w 32nd st, ,",10001,korean,$$,2.5,481
sullivan street bakery,"236 9th ave, ,",10001,bakeries breakfast & brunch cafes,$$,4.0,182
sushi fussion nyc,"224 w 35th st, ,",10001,sushi bars asian fusion,$$,4.0,32
trestle on tenth,"242 10th ave, ,",10001,american (new),$$,3.5,269
cafe rustico ii,"25 w 35th st, ,",10001,italian pizza,$,4.0,62
highline pizza,"503 w 28th st,",10001,pizza,$,4.0,53
vin sur vingt,"1140 broadway,",10001,french wine bars,$$,4.0,75
the breslin bar & dining room,"16 w 29th st, ,",10001,pubs gastropubs breakfast & brunch,$$$,3.5,1334
lupulo,"835 6th ave, ,",10001,seafood portuguese,$$$,3.5,189
the liberty,"29 w 35th st, ,",10001,american (new) bars venues & event spaces,$$,3.5,276
cavallo pizzeria,"334 8th ave,",10001,pizza,$$,4.0,9
arome deli & pizzeria,"138 w 32nd st, ,",10001,pizza,$,3.0,30
prime cafe,"125 w 26th st, ,",10001,italian american (traditional) breakfast & brunch,$$,4.0,31
b & d halal restaurant,"163b w 29th st, ,",10001,african halal,$,4.0,44
the cinnamon snail at the pennsy,"2 penn plz, ,",10001,vegan vegetarian,$$,4.5,199
jack doyle's bar & restaurant,"240 w 35th st, ,",10001,american (traditional) pubs irish,$$,4.0,171
pennsylvania 6 nyc,"132 w 31st st,",10001,american (new) breakfast & brunch seafood,$$,3.5,274
stout nyc,"133 w 33rd st, ,",10001,irish sports bars,$$,3.5,762
hudson station,"440 9th ave, ,",10001,american (traditional) sports bars,$$,3.5,173
la sonrisa empanadas,", ,",10001,empanadas food stands,$,4.0,56
rare bar & grill,"hilton new york fashion district, 152 w 26th st,",10001,burgers american (traditional),$$,3.5,354
spinelli's pizzeria,"425 7th ave, ,",10001,pizza sandwiches,$,3.0,25
madison square tavern,"150 w 30th st, ,",10001,bars american (new),$$,3.5,84
shilla,"37 w 32nd st, ,",10001,korean barbeque,$$,3.5,595
chop shop,"254 10th ave,",10001,asian fusion chinese thai,$$,3.5,185
robert's steakhouse,"536 w 28th st, ,",10001,steakhouses,$$$$,4.0,6
turntable coffee & music,"34 w 32nd st, fl 5",10001,coffee & tea american (traditional) cafes,$$,5.0,7
pondicheri,"15 west 27th st,",10001,indian,$$,3.5,72
antojito mexicano,"6th avenue & 28th street, ,",10001,mexican food stands,$,4.0,23
sweetgreen,"1164 broadway, ,",10001,salad vegetarian,$$,4.0,456
bella napoli,"257 7th ave, ,",10001,italian pizza,$,3.5,139
contorno's restaurant,"30 w 31st st,",10001,italian breakfast & brunch diners,$$,2.5,11
skylight diner,"402 w 34th st, ,",10001,diners american (traditional),$$,3.0,361
statler grill,"136 w 33rd st, ,",10001,american (traditional) steakhouses breakfast & brunch,$$$,3.0,337
the harold,"1271 broadway, ,",10001,american (traditional) breakfast & brunch,$$,3.5,218
cloud 28,"127 w 28th st,",10001,lounges breakfast & brunch sandwiches,$$,3.5,6
hanok,"11 w 32nd st, ,",10001,korean,$$,2.5,31
boon sik zip,"11 w 32nd st, food gallery 32,",10001,korean,$,4.0,6
barilla restaurants,"108 w 32nd st, ,",10001,italian,$$,3.5,39
company,"230 9th ave, ,",10001,pizza bars italian,$$,3.5,530
broadway bites,"33rd & broadway, ,",10001,food court food trucks,$$,4.0,168
turntable coffee & music,"34 w 32nd st, fl 5",10001,coffee & tea american (traditional) cafes,$$,5.0,7
bombay sandwich co,"48 w 27th st, ,",10001,indian vegan vegetarian,$$,4.0,258
uncle nicks greek cuisine,"382 8th ave, ,",10001,greek mediterranean,$$,3.0,225
hanamichi,"28 w 32nd st, ,",10001,japanese korean sushi bars,$$,3.0,354
mcdonald's,"429 7th ave, ,",10001,fast food burgers,$,2.5,20
hanbat restaurant,"53 w 35th st, ,",10001,korean seafood,$$,3.5,367
entree,"240 w 35th st, ste b,",10001,american (new) delis breakfast & brunch,$,3.5,33
niles restaurant,"371 7th ave, ,",10001,bars american (new),$$,3.5,137
chandni restaurant,"13 w 29th st, ,",10001,indian,$,4.0,106
gardenia deli,"404 8th ave, ,",10001,delis,$,3.0,38
mcdonald's,"151 w 34th st, ,",10001,burgers fast food,$,2.0,12
savory and sweet,"398 10th ave, ,",10001,bakeries cafes,$,5.0,1
no. 7 sub,"1188 broadway, ,",10001,sandwiches,$$,4.0,364
roastown coffee,"267 w 34th st, ,",10001,coffee & tea ice cream & frozen yogurt asian fusion,$,3.5,88
songkran,"330 8th ave,",10001,thai,$$,3.5,185
swagat indian restaurant,"205 w 29th st, ,",10001,indian,$,3.0,83
bombay sandwich,"27 n 6th ave, ,",10001,indian vegetarian sandwiches,$$,5.0,14
bottino take-out,"246 10th ave, ,",10001,sandwiches,$$,4.0,109
little italy pizza,"401 7th ave, ,",10001,pizza,$,3.0,10
crompton ale house,"159 w 26th st,",10001,bars american (new),$$,3.5,98
roll & katsu kitchen,"11 w 32nd st, ste 5,",10001,sushi bars korean japanese,$$,3.5,32
la bella stella,"460 w 34th st, ,",10001,pizza,$,3.0,12
panda express,"414 eighth ave,",10001,chinese fast food,$,3.0,12
230 fifth rooftop bar,"230 fifth ave,",10001,cocktail bars american (new),$$,3.0,2089
moya,"793 6th ave, ,",10001,chicken wings korean,$$,2.0,5
by suzette,"494 8th ave, ,",10001,french creperies fast food,$,3.5,92
uncle jack's steakhouse - westside,"440 9th ave, ,",10001,steakhouses breakfast & brunch seafood,$$$$,3.5,372
lasani restaurant,15 w 29th st,10001,indian middle eastern pakistani,$,4.0,32
porchlight,"271 11th ave, ,",10001,cocktail bars,$$,3.5,98
ace hotel new york,"20 w 29th st, ,",10001,hotels,$$$,4.0,603
ajisen ramen,"136 w 28th st,",10001,ramen sushi bars,$$,3.5,261
bottino,"246 10th ave, ,",10001,italian,$$,3.5,199
teremok,"358 7th ave,",10001,russian breakfast & brunch salad,$,4.0,55
tick tock diner,"481 8th ave, ,",10001,diners,$$,2.5,753
cafe r,"116 w 32nd st, ,",10001,food court american (new) breakfast & brunch,$,3.0,194
son ja jang,"34 w 32nd st,",10001,chinese,$$,3.0,25
blue dog cafe,"101 w 25th st, ,",10001,american (new) american (traditional),$$,3.5,204
excuse my french,"96 orchard st, ,",10002,bars tapas bars french,$$,4.5,121
simple,"109 eldridge st, ,",10002,japanese american (new) hawaiian,$$,4.5,160
the boil,"139 chrystie st,",10002,cajun/creole seafood wine bars,$$,4.5,1324
the whales,"71 clinton st, ,",10002,korean cocktail bars chicken wings,$$,4.5,71
rabbit house,"76 forsyth st,",10002,japanese tapas bars,$$,4.5,46
sweet chick,"178 ludlow st, ,",10002,american (traditional),$$,4.0,793
la  contenta,"102 norfolk st, ,",10002,mexican bars breakfast & brunch,$$,4.5,367
freemans,"freeman aly, ,",10002,breakfast & brunch lounges desserts,$$,4.0,1652
l.e.s kitchen,"15 essex st, ,",10002,burgers sandwiches,$,4.0,224
bing kitchen,"71 orchard st,",10002,chinese taiwanese asian fusion,$,4.0,38
to two boonsik,"97 canal st,",10002,korean,$,4.5,29
pig and khao,"68 clinton st, ,",10002,filipino thai asian fusion,$$,4.0,928
lao di fang,"28 forsyth st, ,",10002,chinese,$,4.0,61
the stanton social,"99 stanton st, ,",10002,breakfast & brunch tapas/small plates lounges,$$$,4.0,2456
gohan,14a orchard st,10002,japanese gluten-free comfort food,$$$,5.0,11
lam zhou handmade noodle,"144 e broadway, ,",10002,chinese noodles,$,4.0,1018
verlaine,"110 rivington st, ,",10002,tapas/small plates lounges,$$,4.0,1178
the burgary,"67 clinton st, ,",10002,burgers,$$,4.0,73
the bao shoppe,"34 canal st,",10002,asian fusion sandwiches bubble tea,$,4.5,28
jasmine's,"302 broome st,",10002,french,$$,5.0,8
spaghetti incident,"231 eldridge st, ,",10002,italian breakfast & brunch salad,$$,4.5,249
katz's delicatessen,"205 e houston st, ,",10002,delis sandwiches,$$,4.0,7177
café medi,107 rivington st,10002,mediterranean cafes,$$$,4.0,51
les enfants de boheme,"177 henry st, ,",10002,french cafes cocktail bars,$$,4.5,92
clinton street baking company,"4 clinton st, ,",10002,breakfast & brunch,$$,4.0,3434
wah fung no 1,"79 chrystie st, ,",10002,chinese barbeque fast food,$,4.5,676
benson's nyc,"181 essex st,",10002,breakfast & brunch burgers,$$,4.5,202
vanessa's dumpling house,"118a eldridge st, ,",10002,chinese,$,4.0,1926
set l.e.s,"127 ludlow st, ,",10002,gastropubs asian fusion american (new),$$,4.0,188
pickle guys,"357 grand st, ,",10002,specialty food kosher delis,$,4.5,240
taverna di bacco,"175 ludlow st, ,",10002,italian cocktail bars,$$,4.0,153
cheeky sandwiches,"35 orchard st, ,",10002,sandwiches,$,4.5,828
delilah,"155 rivington st,",10002,mediterranean cocktail bars tapas/small plates,$$,4.5,32
