name,address,zipcode,cuisine,price,violation_code,critical_flag,grade,median_household_income,median_real_estate_value,population_density,cost_of_living,population,neighborhood,borough
juniper,"237 w 35th st,",10001,bars american,$$,06C,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
izakaya mew,"53 w 35th st, basement,",10001,bars japanese,$$,06C,Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
chelsea station,"290 8th ave,",10001,mediterranean italian american,$$,02G,Critical,Z,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
the kunjip,"32 w 32nd st, fl 3,",10001,korean mexican bars,$$,02B,Critical,Z,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
the maze,"32 w 32nd st, fl 3,",10001,korean mexican bars,$$,06C,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
jongro bbq,"22 w 32nd st, ,",10001,korean barbeque bars,$$,06B,Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
five senses,"9 w 32nd st, ,",10001,korean barbeque,$$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
black iron burger,"333 7th ave,",10001,burgers american,$$,06B,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
riko peruvian cuisine,"409 8th ave, ,",10001,peruvian seafood latin american,$$,05D,Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
till & sprocket,"140 w 30th st, ,",10001,bars american,$$,04L,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
jun-men ramen bar,"249 9th ave,",10001,japanese chinese,$$,06A,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
ocabanon,"245 w 29th st,",10001,bars french,$$,08A,Not Critical,B,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
smithfield hall,"138 w 25th st, ,",10001,bars american,$$,02H,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
lemony grill,"224 w 35th st, ,",10001,desserts greek,$$,04A,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
the nomad restaurant,"1170 broadway, ,",10001,bars french american,$$$,06D,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
dewey's pub,"135 w 30th st, ,",10001,bars american,$$,10F,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
mulberry and vine,"55 w 27th st, ,",10001,vegan american,$$,02B,Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
hee korean bbq grill,"793 6th ave,",10001,korean barbeque,$$,08A,Not Critical,A,81671,650200,35350,157.4,21966,Chelsea and Clinton,Manhattan
